Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.01,0.52,28,83
3,1.08,0.85,14,50
4,1.10,1.17,22,52
5,1.12,1.54,17,38
6,1.09,1.91,24,47
7,1.08,2.04,17,35
8,1.15,2.23,9,20
9,1.16,2.48,15,34
10,1.21,2.64,12,21
11,1.28,2.81,13,23
12,1.28,2.93,12,29
13,1.27,3.18,17,48
14,1.28,3.23,8,10
15,1.31,3.49,14,47
16,1.29,3.59,5,12
17,1.25,3.93,15,42
18,1.18,3.98,5,15
19,1.17,4.22,15,31
20,1.09,4.50,8,46
21,1.07,4.70,12,41
22,1.13,4.92,10,39
23,1.07,5.09,10,20
24,1.05,5.22,9,29
25,1.04,5.68,17,65
26,1.06,5.85,15,42
27,1.04,6.29,13,48
28,1.02,6.46,8,26
29,1.04,6.66,12,42
30,1.07,7.02,14,67
31,1.04,7.36,14,65
32,1.04,7.55,16,42
33,1.02,7.66,9,13
34,1.00,7.84,13,51
35,0.93,8.02,16,50
36,0.90,8.47,17,52
37,0.87,8.76,20,50
38,0.88,8.92,14,34
39,0.92,9.10,14,41
40,0.92,9.36,15,46
41,0.89,9.55,12,45
42,0.88,9.68,9,29
43,0.88,9.93,17,42
44,0.84,10.21,14,42
45,0.81,10.45,18,59
46,0.79,10.74,18,46
47,0.72,10.93,16,44
48,0.71,11.16,14,48
49,0.71,11.41,17,71
50,0.70,11.70,13,56
51,0.70,11.98,16,61
52,0.68,12.15,18,39
53,0.66,12.46,18,49
54,0.67,12.78,17,66
55,0.65,12.92,12,44
56,0.66,13.10,14,44
57,0.64,13.27,13,56
58,0.66,13.45,18,42
59,0.66,13.54,14,32
60,0.64,13.80,12,60
61,0.71,13.87,7,16
62,0.73,14.09,12,53
63,0.71,14.33,10,28
64,0.73,14.61,11,51
65,0.72,14.74,8,22
66,0.74,15.04,12,53
67,0.79,15.48,15,70
68,0.79,15.57,11,20
69,0.83,15.69,9,19
70,0.85,16.13,16,64
71,0.85,16.23,10,32
72,0.89,16.39,10,29
73,0.88,16.58,16,39
74,0.85,16.72,14,29
75,0.86,16.83,7,20
76,0.90,17.04,9,29
77,0.93,17.28,12,54
78,0.97,17.47,11,39
79,0.93,17.74,11,42
80,0.94,17.86,9,26
81,0.95,18.09,11,29
82,0.98,18.31,12,40
83,0.97,18.53,8,35
84,0.90,18.63,9,23
85,0.89,18.80,9,45
86,0.89,19.06,13,35
87,0.98,19.18,12,23
88,0.99,19.54,12,35
89,1.03,19.61,9,27
90,1.04,19.99,11,32
91,1.05,20.24,13,40
92,1.07,20.50,12,36
93,1.10,20.75,14,47
94,1.07,21.00,8,27
95,1.06,21.21,13,32
96,1.10,21.39,10,33
97,1.17,21.56,11,20
98,1.19,21.81,13,32
