Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,0.99,0.36,22,63
3,0.99,0.80,18,55
4,0.96,1.15,17,51
5,0.96,1.28,13,35
6,0.90,1.60,17,44
7,0.86,1.91,18,63
8,0.85,2.10,18,40
9,0.85,2.22,14,45
10,0.88,2.50,18,40
11,0.83,2.76,15,56
12,0.83,2.95,21,41
13,0.85,3.11,17,29
14,0.82,3.32,13,46
15,0.84,3.60,13,50
16,0.83,3.78,12,38
17,0.85,4.03,16,57
18,0.83,4.39,20,60
19,0.81,4.61,17,62
20,0.82,4.79,11,42
21,0.81,4.91,11,35
22,0.81,5.15,19,64
23,0.78,5.45,13,52
24,0.75,5.63,9,32
25,0.73,5.77,12,32
26,0.76,6.02,11,31
27,0.75,6.33,12,54
28,0.76,6.37,8,23
29,0.73,6.70,11,50
30,0.70,6.92,14,48
31,0.68,7.13,13,54
32,0.67,7.35,14,44
33,0.66,7.52,16,65
34,0.68,7.57,15,35
35,0.63,7.73,11,47
36,0.63,7.97,18,51
37,0.61,8.21,16,59
38,0.58,8.45,12,50
39,0.55,8.60,12,57
40,0.56,8.75,13,70
41,0.59,8.86,11,41
42,0.61,9.12,23,72
43,0.61,9.40,15,60
44,0.62,9.51,15,52
45,0.61,9.85,25,108
46,0.63,9.96,9,33
47,0.65,10.38,22,80
48,0.69,10.60,15,46
49,0.67,10.80,12,62
50,0.67,10.94,15,65
51,0.71,11.11,10,53
52,0.76,11.22,9,25
53,0.75,11.28,10,22
54,0.78,11.44,14,28
55,0.77,11.74,12,43
56,0.76,11.90,11,25
57,0.78,12.15,15,44
58,0.77,12.33,13,55
59,0.77,12.47,10,24
60,0.75,12.72,12,45
61,0.76,12.83,9,33
62,0.73,13.15,12,55
63,0.71,13.21,8,19
64,0.72,13.46,12,50
65,0.66,13.71,10,41
66,0.64,13.90,9,33
67,0.67,14.09,11,54
68,0.69,14.37,17,56
69,0.67,14.73,13,58
70,0.66,15.08,20,72
71,0.63,15.29,18,71
72,0.62,15.41,16,49
73,0.63,15.56,13,59
74,0.58,15.78,16,40
75,0.60,15.92,19,68
76,0.60,16.21,16,77
77,0.59,16.33,10,49
78,0.58,16.44,12,29
79,0.56,16.64,15,65
80,0.55,16.81,16,47
81,0.55,16.98,12,42
82,0.56,17.08,17,50
83,0.50,17.16,6,16
84,0.49,17.37,15,48
85,0.51,17.65,18,69
86,0.50,17.84,10,46
87,0.52,17.96,10,38
88,0.53,18.08,11,46
89,0.57,18.31,14,58
90,0.59,18.56,17,62
91,0.59,18.67,9,45
92,0.59,18.82,11,50
93,0.60,18.91,14,29
94,0.59,19.03,13,37
95,0.60,19.12,11,42
96,0.62,19.20,8,24
97,0.59,19.33,10,36
98,0.60,19.37,9,29
