Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.01,0.47,21,63
3,1.01,0.75,14,40
4,0.96,1.27,27,67
5,0.97,1.52,10,33
6,0.95,1.84,14,38
7,0.97,2.09,22,55
8,0.92,2.30,21,44
9,0.91,2.53,17,44
10,0.91,2.70,13,26
11,0.89,3.12,20,65
12,0.88,3.29,16,45
13,0.87,3.66,15,59
14,0.86,4.12,20,69
15,0.91,4.29,10,45
16,0.88,4.57,19,59
17,0.89,4.62,8,15
18,0.93,4.74,14,43
19,0.93,4.98,14,49
20,0.96,5.17,10,36
21,0.91,5.30,12,30
22,0.90,5.55,16,40
23,0.90,5.92,15,42
24,0.87,6.09,11,26
25,0.84,6.22,10,28
26,0.81,6.54,13,36
27,0.79,6.69,14,32
28,0.81,6.87,13,28
29,0.76,7.29,19,71
30,0.79,7.48,17,63
31,0.83,7.65,13,33
32,0.86,7.86,10,52
33,0.83,8.10,14,44
34,0.88,8.38,12,50
35,0.87,8.52,8,26
36,0.82,8.81,17,41
37,0.81,8.91,15,26
38,0.85,9.08,10,40
39,0.93,9.15,8,26
40,0.89,9.37,13,40
41,0.90,9.43,9,20
42,0.84,9.56,8,27
43,0.82,9.93,17,67
44,0.78,10.04,9,22
45,0.76,10.11,8,20
46,0.74,10.25,8,30
47,0.76,10.31,9,29
48,0.75,10.47,13,34
49,0.75,10.59,11,33
50,0.76,10.85,13,41
51,0.73,11.18,16,49
52,0.75,11.44,17,55
53,0.73,11.60,11,39
54,0.72,11.82,10,37
55,0.72,11.89,9,28
56,0.76,11.96,6,17
57,0.70,12.21,12,49
58,0.70,12.32,10,21
59,0.72,12.59,13,44
60,0.76,12.84,10,44
61,0.77,13.04,14,45
62,0.77,13.33,18,47
63,0.77,13.47,12,34
64,0.77,13.66,18,61
65,0.78,13.85,13,43
66,0.75,14.02,10,32
67,0.72,14.31,15,58
68,0.68,14.54,13,52
69,0.71,14.59,6,18
70,0.72,14.74,9,42
71,0.75,14.96,14,51
72,0.74,15.10,9,38
73,0.74,15.21,12,36
74,0.76,15.36,10,44
75,0.78,15.58,12,39
76,0.77,15.71,9,30
77,0.76,15.90,16,38
78,0.80,16.03,16,37
79,0.79,16.22,9,37
80,0.74,16.48,11,31
81,0.73,16.54,10,19
82,0.72,16.61,9,26
83,0.71,16.91,12,48
84,0.73,17.12,16,56
85,0.74,17.28,8,28
86,0.75,17.52,11,37
87,0.76,17.63,14,37
88,0.77,17.75,11,34
89,0.73,17.86,10,41
90,0.73,18.04,12,54
91,0.74,18.09,4,11
92,0.68,18.24,14,32
93,0.69,18.47,10,33
94,0.66,18.54,11,24
95,0.67,18.62,10,30
96,0.69,18.85,14,46
97,0.67,18.97,11,35
98,0.65,19.06,8,35
