Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.04,0.34,19,57
3,1.09,0.66,21,64
4,1.08,1.08,24,73
5,1.10,1.48,28,68
6,1.14,1.74,15,35
7,1.15,2.20,23,58
8,1.14,2.40,18,39
9,1.15,2.73,20,48
10,1.06,3.02,10,24
11,1.02,3.26,10,25
12,1.03,3.56,21,54
13,1.00,3.86,14,57
14,0.96,4.16,10,29
15,0.96,4.35,18,50
16,0.97,4.46,10,25
17,0.96,4.59,16,44
18,0.94,4.84,19,41
19,0.96,5.00,15,54
20,0.96,5.16,14,46
21,0.99,5.65,17,65
22,0.97,5.78,14,28
23,0.97,5.98,11,33
24,0.98,6.23,13,46
25,1.02,6.47,12,47
26,1.03,6.60,12,23
27,1.02,6.80,8,26
28,1.03,7.01,13,36
29,0.99,7.34,13,31
30,1.02,7.75,14,55
31,1.01,7.91,10,32
32,1.02,8.22,13,42
33,0.98,8.41,8,26
34,0.89,8.52,10,18
35,0.88,8.86,17,61
36,0.85,8.94,10,20
37,0.84,9.08,12,26
38,0.81,9.30,17,51
39,0.79,9.48,9,34
40,0.76,9.57,9,18
41,0.72,9.93,19,53
42,0.67,10.09,9,33
43,0.64,10.15,8,23
44,0.65,10.27,12,35
45,0.63,10.37,8,34
46,0.60,10.55,21,71
47,0.59,10.65,14,40
48,0.61,10.85,17,50
49,0.60,11.25,14,67
50,0.60,11.42,17,56
51,0.58,11.51,11,40
52,0.57,11.71,11,47
53,0.59,11.85,11,38
54,0.62,11.97,16,32
55,0.67,12.03,4,38
56,0.64,12.30,16,51
57,0.64,12.45,11,34
58,0.67,12.60,11,35
59,0.67,12.79,13,35
60,0.67,13.12,13,73
61,0.70,13.26,11,58
62,0.79,13.35,10,15
63,0.79,13.61,19,42
64,0.83,13.75,14,33
65,0.86,14.09,11,48
66,0.84,14.35,12,44
67,0.87,14.54,13,29
68,0.92,14.69,14,30
69,0.99,14.98,13,45
70,0.94,15.16,11,34
71,0.97,15.51,11,53
72,1.03,15.66,11,21
73,1.08,15.78,10,21
74,1.11,15.84,7,17
75,1.11,16.03,11,34
76,1.10,16.22,11,38
77,1.17,16.34,8,18
78,1.12,16.47,9,21
79,1.11,16.86,14,37
80,1.09,16.98,8,23
81,1.08,17.14,7,27
82,1.11,17.32,11,38
83,1.15,17.53,10,27
84,1.15,17.75,10,27
85,1.15,18.14,12,38
86,1.16,18.18,5,18
87,1.11,18.30,8,22
88,1.12,18.46,10,32
89,1.08,18.70,10,27
90,1.10,18.78,6,15
91,1.05,18.87,8,25
92,1.09,18.96,9,23
93,1.12,19.04,5,13
94,1.08,19.20,12,35
95,1.12,19.39,13,30
96,1.12,19.41,1,6
97,1.07,19.57,11,28
98,1.12,19.72,7,19
