Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.01,0.26,16,44
3,1.06,0.49,16,34
4,1.09,0.71,13,30
5,1.05,1.01,19,53
6,1.05,1.45,16,53
7,1.04,1.71,18,46
8,1.10,1.90,13,31
9,1.06,2.17,16,44
10,1.12,2.50,11,48
11,1.13,2.77,12,47
12,1.12,3.01,15,36
13,1.10,3.25,13,30
14,1.09,3.42,12,28
15,1.02,3.51,8,25
16,1.00,3.73,9,35
17,0.96,3.82,14,36
18,0.95,3.99,15,37
19,1.01,4.13,9,18
20,0.99,4.30,8,24
21,0.98,4.50,8,27
22,1.01,4.77,17,58
23,1.02,5.05,11,36
24,0.94,5.16,10,34
25,0.89,5.29,17,35
26,0.85,5.46,17,39
27,0.83,5.71,12,36
28,0.82,5.85,14,32
29,0.79,5.95,11,29
30,0.76,6.20,16,56
31,0.74,6.39,9,50
32,0.72,6.48,8,27
33,0.74,6.66,9,33
34,0.77,6.81,13,32
35,0.76,6.97,11,44
36,0.79,7.11,14,30
37,0.77,7.25,8,32
38,0.73,7.41,10,35
39,0.77,7.46,7,19
40,0.82,7.53,7,14
41,0.84,7.68,9,40
42,0.82,7.79,13,23
43,0.78,8.01,13,37
44,0.78,8.10,10,21
45,0.80,8.18,11,36
46,0.79,8.28,12,33
47,0.85,8.42,11,29
48,0.85,8.49,9,22
49,0.89,8.56,9,29
50,0.85,8.68,8,27
51,0.88,8.78,13,33
52,1.00,8.87,7,16
53,1.00,9.05,9,24
54,0.98,9.20,12,35
55,0.96,9.27,10,24
56,1.01,9.44,12,34
57,0.97,9.50,5,11
58,1.04,9.72,8,30
59,1.06,9.88,11,41
60,1.03,10.15,15,48
61,1.03,10.27,9,30
62,0.99,10.37,4,18
63,1.06,10.51,8,21
64,1.05,10.65,8,18
65,1.01,10.78,8,22
66,1.03,11.03,13,48
67,1.02,11.41,8,36
68,1.07,11.47,7,17
69,1.11,11.66,10,26
70,1.08,11.76,8,24
71,1.07,11.88,9,19
72,1.03,12.03,7,21
73,1.02,12.10,6,23
74,1.06,12.12,5,12
75,1.01,12.28,5,15
76,0.97,12.38,7,15
77,0.98,12.51,13,27
78,1.02,12.59,7,21
79,1.01,12.68,5,16
80,0.98,12.71,5,5
81,0.95,12.82,6,13
82,0.93,12.99,9,24
83,0.94,13.08,10,19
84,1.00,13.16,8,24
85,1.04,13.21,5,11
86,1.04,13.26,6,31
87,1.05,13.40,5,18
88,1.04,13.44,3,7
89,1.01,13.64,10,40
90,1.14,13.85,10,30
91,1.13,14.06,11,28
92,1.16,14.33,11,26
93,1.19,14.47,11,34
94,1.21,14.60,8,20
95,1.15,14.66,7,12
96,1.11,14.86,7,25
97,1.19,15.07,7,25
98,1.25,15.29,7,26
