TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
ma_trader34      10.00         10   0.86     0.38   1.36    11  60.04             9             12            7            12
ma_trader35      10.00         10   0.13     0.57   0.94    21 112.97             7              1            9             9
ma_trader32      10.00         10   0.02     0.06   0.84    24 128.87             9              4           12             7
ma_trader33      10.00         10   0.35     0.40   0.26    25 133.63             9              4           12            14
ma_trader30      10.00         10   0.50     0.16   0.52    19 101.88             4              6            8            17
trader10        10.00         10   0.73     0.03   1.82    18  97.84           115             59          140           145
ma_trader31      10.00         10   0.72     0.16   0.55     6  32.55             5             10            7             6
trader12        10.00         10   0.65     0.96  36.56     0  36.56            76             55           56            61
trader11        10.00         10   0.98     0.80   6.37     0   6.37           400            355          330           365
trader18        10.00         10   0.84     0.07   8.54     1  13.87           204            148          231           324
trader17        10.00         10   0.62     0.92  13.44     0  13.44            92             85           78           111
trader19        10.00         10   0.03     0.75  42.68     0  42.68            41             31           26            15
trader14        10.00         10   0.55     0.01   1.54    18  97.57            33             11           42            45
trader13        10.00         10   0.25     0.21   9.96     1  15.29           214            130          223           225
trader16        10.00         10   0.68     0.51   8.88     0   8.88           631            533          609           551
trader15        10.00         10   0.34     0.31   2.79     2  13.46           261            195          266           300
ma_trader29      10.00         10   0.61     0.35   1.68    20 108.38             9              8            9             9
