Step,Price,ManagerIncome,NbOp,NbSh
226,6.37,36.51,4,8
227,6.04,37.02,3,8
228,6.16,37.10,2,4
229,6.51,37.13,2,2
230,6.51,37.13,0,0
231,6.87,37.27,2,3
232,7.08,37.46,4,5
233,7.35,37.59,2,4
234,7.63,37.76,3,3
235,8.01,37.79,1,1
236,7.45,37.91,3,3
237,7.77,38.02,2,3
238,7.77,38.02,0,0
239,8.29,38.09,2,3
240,8.20,38.51,6,10
241,8.78,38.61,2,3
242,10.38,38.64,1,1
243,10.44,38.85,3,4
244,9.95,39.17,4,4
245,9.21,39.19,2,2
246,9.21,39.29,3,3
247,9.64,39.45,2,2
248,9.97,39.73,4,4
249,9.97,39.73,0,0
250,10.46,39.73,1,1
251,8.95,39.74,1,1
252,8.62,39.76,1,1
253,9.18,39.92,4,4
254,9.13,40.06,3,3
255,9.03,40.23,4,4
256,9.05,40.23,1,1
257,8.54,40.31,2,2
258,8.54,40.31,0,0
259,8.54,40.31,0,0
260,8.13,40.38,3,3
261,7.59,40.40,1,1
262,6.98,40.69,5,6
263,7.20,40.79,2,2
264,7.01,40.96,2,3
265,7.01,40.96,0,0
266,6.93,41.01,2,2
267,7.69,41.10,3,4
268,8.66,41.17,2,4
269,8.86,41.24,2,2
270,8.30,41.35,1,1
271,8.27,41.44,3,3
272,7.77,41.56,2,2
273,7.38,41.61,2,2
274,7.17,41.72,2,2
275,7.24,41.78,2,2
276,7.24,41.95,1,3
277,7.24,41.95,0,0
278,6.83,42.09,2,2
279,6.73,42.22,3,3
280,6.23,42.23,1,2
281,6.50,42.44,3,3
282,6.50,42.53,3,4
283,6.71,42.68,4,5
284,6.91,42.73,3,3
285,6.94,42.74,1,1
286,6.94,42.74,0,0
287,6.90,42.84,2,2
288,6.75,43.06,5,5
289,7.43,43.35,4,4
290,6.75,43.48,3,3
291,7.13,43.58,3,3
292,6.26,43.61,1,1
293,6.26,43.61,0,0
294,6.07,43.83,3,4
295,6.07,43.83,0,0
296,5.97,43.83,2,3
297,5.85,43.94,2,4
298,5.40,44.07,3,4
299,5.06,44.09,1,1
300,4.77,44.34,3,5
301,5.23,44.41,1,2
302,4.62,44.50,1,4
303,4.60,44.50,1,1
304,4.67,44.57,3,4
305,4.64,44.62,4,4
306,4.40,44.66,2,2
307,4.60,44.78,2,3
308,4.14,44.80,2,2
309,4.14,44.80,0,0
310,4.04,45.04,6,8
311,3.70,45.20,4,4
312,3.98,45.34,4,11
313,3.66,45.38,1,1
314,3.74,45.49,2,4
315,3.98,45.70,2,5
316,4.45,45.77,3,4
317,4.61,45.93,4,4
318,5.11,45.94,1,1
319,5.12,45.97,1,1
320,5.15,46.27,8,13
321,5.09,46.31,3,4
322,5.09,46.31,0,0
323,4.93,46.39,3,6
324,4.52,46.45,2,2
325,4.39,46.65,4,7
326,4.33,46.73,2,3
327,4.31,46.86,3,4
328,4.31,46.86,0,0
329,4.26,46.91,2,2
330,4.25,46.96,2,2
331,4.30,47.06,4,4
332,4.23,47.09,3,4
333,4.04,47.22,4,8
334,4.16,47.50,3,7
335,4.06,47.59,2,2
336,3.83,47.59,2,3
337,4.17,47.61,1,1
338,4.37,47.64,1,1
339,4.69,47.65,1,1
340,4.80,47.72,4,5
341,4.71,47.80,3,5
342,5.21,47.84,2,2
343,5.01,47.91,2,3
344,4.83,47.99,1,4
345,4.33,48.02,1,1
346,4.45,48.06,4,4
347,4.63,48.15,2,3
348,4.62,48.18,3,3
349,4.44,48.34,6,6
350,4.39,48.68,6,11
351,4.52,48.70,2,3
352,4.51,48.75,2,2
353,4.45,48.82,4,5
354,4.87,48.86,2,2
355,4.88,49.09,4,9
356,5.09,49.16,2,2
357,4.63,49.35,2,4
358,4.30,49.44,2,2
359,3.98,49.59,5,10
360,4.24,49.67,3,7
361,3.77,49.92,4,7
362,3.81,50.11,3,6
363,3.99,50.22,3,7
364,4.09,50.27,3,3
365,3.77,50.29,1,1
366,3.74,50.30,2,3
367,4.36,50.34,1,1
368,4.64,50.40,3,3
369,4.53,50.57,5,11
370,4.51,50.71,4,5
371,4.34,50.77,2,2
372,4.70,50.85,3,4
373,5.01,51.12,4,7
374,4.95,51.23,2,3
375,5.03,51.29,2,2
376,5.03,51.29,0,0
377,5.07,51.39,3,4
378,5.04,51.45,1,2
379,4.56,51.65,3,5
380,4.81,51.69,4,7
381,4.80,52.01,8,10
382,5.36,52.17,5,7
383,5.27,52.31,4,6
384,5.33,52.41,2,3
385,5.23,52.46,3,3
386,5.24,52.53,1,2
387,5.65,52.59,2,2
388,5.54,52.62,1,2
389,6.13,52.80,2,4
390,6.19,52.92,3,4
391,6.53,53.23,3,6
392,6.38,53.52,3,6
393,6.38,53.52,0,0
394,6.06,53.55,1,1
395,6.12,53.70,3,4
396,5.72,53.98,3,5
397,5.66,54.07,2,2
398,5.66,54.22,3,5
399,5.31,54.28,4,4
400,5.53,54.42,3,5
401,5.33,54.44,2,3
402,5.17,54.53,5,6
403,5.04,54.72,4,5
404,4.97,54.82,4,5
405,5.48,55.03,4,5
406,5.69,55.06,1,1
407,5.89,55.10,1,1
408,5.89,55.10,0,0
409,5.89,55.10,0,0
410,6.18,55.11,1,1
411,6.59,55.14,1,1
412,6.59,55.27,4,4
413,6.59,55.27,0,0
414,6.66,55.29,1,1
415,6.28,55.74,4,5
416,6.02,55.80,2,2
417,5.93,55.98,3,3
418,6.25,56.05,2,3
419,6.77,56.06,1,1
420,6.63,56.10,2,2
421,7.04,56.37,3,6
422,6.91,56.46,2,2
423,6.66,56.48,1,1
424,6.97,56.57,2,2
425,7.18,56.65,1,1
426,7.15,56.73,2,2
427,6.78,56.86,1,2
428,6.55,56.92,1,1
429,6.90,56.98,2,3
430,6.95,57.42,7,10
431,7.68,57.62,4,5
432,7.83,57.66,2,2
433,7.83,57.66,0,0
434,8.53,57.71,1,1
435,8.38,57.74,1,1
436,9.12,57.82,2,2
437,9.22,57.85,1,1
438,8.92,58.09,3,3
439,8.47,58.35,3,3
440,9.02,58.66,4,5
441,8.34,58.80,3,3
442,8.42,59.01,4,5
443,8.91,59.14,2,3
444,9.35,59.23,2,2
445,10.34,59.29,1,1
446,10.34,59.29,0,0
447,9.36,59.62,3,4
448,9.36,59.62,0,0
449,10.34,59.65,2,2
450,9.46,59.70,2,3
451,9.49,59.88,2,3
452,8.75,60.06,4,4
453,8.52,60.21,3,3
454,7.67,60.38,2,2
455,7.50,60.54,5,8
456,8.26,60.63,1,1
457,8.27,60.80,3,3
458,8.10,60.91,1,1
459,8.05,60.98,2,3
460,8.11,61.14,3,3
461,8.11,61.14,0,0
462,7.68,61.23,3,3
463,7.73,61.29,2,2
464,7.51,61.34,2,2
465,7.21,61.63,4,8
466,6.54,61.70,2,2
467,6.84,62.08,6,6
468,7.04,62.10,2,2
469,6.92,62.17,1,1
470,7.09,62.29,3,3
471,7.30,62.40,2,2
472,6.90,62.50,2,2
473,6.36,62.68,2,3
474,6.09,62.79,3,3
475,5.54,63.04,3,6
476,5.14,63.14,2,2
477,5.03,63.17,2,2
478,4.86,63.36,4,4
479,5.16,63.40,3,3
480,4.93,63.51,4,5
481,4.86,63.61,3,4
482,5.32,63.65,2,6
483,5.56,63.71,2,2
484,5.21,63.85,1,2
485,5.44,64.03,3,4
486,5.58,64.09,2,2
487,5.11,64.14,2,3
488,5.18,64.26,4,7
489,5.38,64.41,3,5
490,5.26,64.54,3,8
491,5.27,64.70,3,7
492,5.71,65.04,4,5
493,5.73,65.17,4,4
494,5.78,65.19,1,3
495,5.48,65.36,6,8
496,5.33,65.50,4,6
497,5.25,65.73,7,9
498,5.10,65.84,2,2
499,4.91,65.90,3,4
500,5.32,66.05,4,4
501,5.54,66.16,4,4
502,5.32,66.35,3,4
503,5.18,66.41,2,3
504,5.03,66.74,4,10
505,5.36,66.79,2,3
506,5.71,66.92,5,7
507,5.36,66.99,2,3
508,5.44,66.99,1,1
509,5.51,67.19,6,7
510,5.43,67.20,1,1
511,5.17,67.28,4,5
512,5.30,67.36,3,4
513,5.71,67.42,2,2
514,5.95,67.46,1,1
515,5.75,67.56,3,4
