Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.12,0.13,7,19
3,1.24,0.35,11,36
4,1.34,0.49,9,17
5,1.47,0.65,10,15
6,1.58,0.95,12,27
7,1.66,1.26,14,22
8,1.68,1.61,14,35
9,1.75,1.77,12,25
10,1.80,2.01,14,23
11,1.95,2.20,7,17
12,1.99,2.50,11,29
13,2.03,2.92,17,36
14,2.09,3.26,11,20
15,2.03,3.64,16,25
16,2.11,3.75,9,11
17,2.22,3.91,7,9
18,2.31,4.19,11,23
19,2.23,4.51,14,29
20,2.26,4.78,10,15
21,2.23,5.00,8,17
22,2.15,5.82,15,39
23,2.16,6.00,8,16
24,2.15,6.15,10,15
25,2.22,6.29,6,18
26,2.33,6.46,11,20
27,2.40,6.66,7,10
28,2.23,6.81,9,12
29,2.22,7.11,7,17
30,2.14,7.23,10,16
31,2.05,7.62,14,46
32,1.98,7.71,6,7
33,1.92,7.78,6,10
34,1.79,8.03,9,30
35,1.68,8.36,10,27
36,1.63,8.46,8,10
37,1.60,8.89,16,34
38,1.56,9.08,11,22
39,1.45,9.18,8,13
40,1.37,9.40,13,32
41,1.32,9.66,9,30
42,1.24,9.84,9,20
43,1.17,10.04,12,38
44,1.11,10.27,11,37
45,1.01,10.39,7,19
46,0.89,10.59,9,34
47,0.84,10.96,24,76
48,0.81,11.15,15,23
49,0.75,11.32,14,31
50,0.72,11.56,16,56
51,0.70,11.65,12,23
52,0.67,11.81,14,34
53,0.63,11.86,8,17
54,0.67,12.11,12,50
55,0.65,12.25,15,39
56,0.63,12.30,9,14
57,0.66,12.36,6,9
58,0.67,12.43,9,25
59,0.71,12.47,5,16
60,0.74,12.60,10,31
61,0.73,12.65,4,14
62,0.79,12.80,6,25
63,0.88,12.83,2,4
64,0.92,12.96,3,16
65,0.92,12.96,0,0
66,0.97,12.98,3,11
67,1.03,12.98,1,1
68,1.09,13.01,3,5
69,1.10,13.02,2,3
70,1.12,13.08,4,11
71,1.12,13.08,0,0
72,1.10,13.16,3,6
73,1.10,13.16,0,0
74,1.20,13.18,1,2
75,1.20,13.18,0,0
76,1.20,13.18,0,0
77,1.29,13.30,3,19
78,1.29,13.30,0,0
79,1.29,13.30,0,0
80,1.41,13.46,3,11
81,1.41,13.46,0,0
82,1.55,13.47,1,1
83,1.55,13.47,0,0
84,1.84,13.48,1,1
85,1.84,13.48,0,0
86,1.91,13.50,1,1
87,2.09,13.52,1,1
88,2.09,13.52,0,0
89,2.30,13.55,1,2
90,2.52,13.74,5,8
91,2.52,13.74,0,0
92,2.52,13.74,0,0
93,2.52,13.74,0,0
94,2.52,13.74,0,0
95,2.48,14.02,5,10
96,2.48,14.02,0,0
97,2.48,14.02,0,0
98,2.48,14.02,0,0
