TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
trader1         10.00         10   0.28     0.80  11.09     0  11.09            10              6            3            65
trader3         10.00         10   0.07     0.35  69.09     0  69.09            13              4            3           188
trader2         10.00         10   0.47     0.46  25.27     0  25.27             7              4           10           853
trader5         10.00         10   0.67     0.13  16.15     0  16.15             8              2            8          1438
trader4         10.00         10   0.48     0.63  23.69     0  23.69            16              8           14           564
trader7         10.00         10   0.89     0.81  18.05     0  18.05             5              8            2           487
trader6         10.00         10   0.48     0.10  34.83     0  34.83            13              4            7          1590
trader9         10.00         10   0.97     0.30  15.64     0  15.64            13              6           12          1559
trader8         10.00         10   0.24     0.04 104.30     0 104.30            12              1            7           942
ma_trader80      10.00         10   0.75     0.37   4.96     8  72.72            10             17            6           531
ma_trader16      10.00         10   0.41     0.87  12.41     3  37.82            10              4            5          1745
ma_trader17      10.00         10   0.09     0.12   0.36    32 271.40             7              0           15             6
ma_trader14      10.00         10   0.40     0.38  12.27     0  12.27             2              7            4          1741
ma_trader15      10.00         10   0.95     0.85  10.92     0  10.92             5              3            2          1146
ma_trader12      10.00         10   0.16     0.96   7.90    16 143.41             5              4            8           257
ma_trader13      10.00         10   0.61     0.45   6.71    27 235.39             3              8            8           103
ma_trader10      10.00         10   0.58     0.95   1.00    12 102.64             5              0            5             7
ma_trader11      10.00         10   0.06     0.13   8.30     2  25.24            10             13            5           660
ma_trader69      10.00         10   0.11     0.76   5.98     1  14.45             6             11            5           561
ma_trader67      10.00         10   0.38     0.54   8.50     1  16.97             5              3            4           444
ma_trader68      10.00         10   0.30     0.13   0.48    22 186.82            10              4            9             6
ma_trader65      10.00         10   0.76     0.17   6.94     7  66.23             3              4            5           120
ma_trader66      10.00         10   0.44     0.68   0.96    15 128.00             8              0            7            11
ma_trader63      10.00         10   0.76     0.54   3.40     9  79.63             8              9            4           706
ma_trader64      10.00         10   0.89     0.39  10.10     3  35.51             5             10            6          1209
ma_trader61      10.00         10   0.68     0.52   8.74    18 161.20             5             25            9           451
ma_trader62      10.00         10   0.45     0.09   9.20    11 102.37             8              7            5           805
ma_trader60      10.00         10   0.25     0.64   0.55    39 330.87             5              6           13            13
ma_trader78      10.00         10   0.94     0.84   0.72    23 195.52             9             14            9            11
ma_trader79      10.00         10   0.76     0.68   0.48    13 110.58             7              1            7             6
