TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
ma_trader76      10.00         10   0.53     0.12   0.80    15 127.85             5              1            7             7
ma_trader77      10.00         10   0.97     0.59  13.13     0  13.13             4              4            5          1891
ma_trader74      10.00         10   0.91     0.29   5.82     3  31.23             7              9            3            40
ma_trader75      10.00         10   0.51     0.49   0.80    30 254.90            12              5           17             5
ma_trader72      10.00         10   0.21     0.14   0.68    20 170.08             7              3           13            10
ma_trader73      10.00         10   0.84     0.80   0.67    12 102.31             4              0            7            11
ma_trader70      10.00         10   0.41     0.64   3.75     3  29.16             5             14            6            35
ma_trader71      10.00         10   0.45     0.43   5.79    17 149.78            10             12            7            75
ma_trader49      10.00         10   0.88     0.27   0.89    13 111.00             9              4            9            11
ma_trader47      10.00         10   0.13     0.55   0.77    13 110.88             6              0            8             6
ma_trader48      10.00         10   0.83     0.41   5.36     1  13.83             7             13            3           357
ma_trader45      10.00         10   0.78     0.52  20.87     3  46.28            10             15            3          2933
ma_trader46      10.00         10   0.92     0.64   8.86     6  59.68             5             13            4           438
ma_trader43      10.00         10   0.06     0.88   8.68     4  42.56             4              2            6           490
ma_trader44      10.00         10   0.92     0.44   0.97    12 102.60             4              0            5            13
ma_trader41      10.00         10   0.25     0.00   0.53    38 322.38            10              3           11             5
ma_trader42      10.00         10   0.18     0.55   7.87     4  41.75             4             11            5           231
trader20        10.00         10   0.63     0.28   9.88     0   9.88            11              3            5           396
ma_trader40      10.00         10   0.05     0.54   5.64     3  31.05             4              4            5            62
ma_trader5      10.00         10   0.44     0.26   1.20    33 280.70            10             21           12            15
ma_trader6      10.00         10   0.45     0.81   8.11     2  25.05             2             14            5           418
ma_trader7      10.00         10   0.56     0.33   2.85     3  28.26             6              9            6            26
ma_trader8      10.00         10   0.50     0.15   0.79    12 102.43             4              0            7             6
ma_trader1      10.00         10   0.28     0.72   0.89    25 212.63             7              0           10            12
ma_trader2      10.00         10   0.26     0.05   0.47    13 110.58             7              0            7            12
ma_trader3      10.00         10   0.64     0.27   0.38    14 118.96             6              3           11            12
ma_trader4      10.00         10   0.24     0.90   3.89    19 164.81             8             11            6           514
ma_trader58      10.00         10   0.48     0.45   5.16     3  30.56             9              9            3            38
ma_trader59      10.00         10   0.34     0.62   0.30    13 110.41             6              0            6             9
ma_trader56      10.00         10   0.27     0.05   5.89     2  22.83             7             10            5            53
ma_trader57      10.00         10   0.67     0.37   5.70     1  14.17             8              6            4            69
ma_trader54      10.00         10   0.46     0.52   0.97    31 263.53             8              2           16            10
ma_trader55      10.00         10   0.30     0.73   0.43    15 127.48            10              2           11             5
ma_trader52      10.00         10   0.41     0.70   0.71    50 424.19             5              2           25             8
ma_trader53      10.00         10   0.08     0.86  13.84     0  13.84             6             15            2          2016
ma_trader50      10.00         10   0.77     0.18   2.62     2  19.56             7              3            5           360
ma_trader51      10.00         10   0.70     0.54   0.50    14 119.08             6              0           10             9
ma_trader27      10.00         10   0.13     0.09  13.66     0  13.66             3              6            2          1975
ma_trader28      10.00         10   0.47     0.33   2.29    28 239.44             5             11           12            74
ma_trader25      10.00         10   0.47     0.21   0.62    16 136.13             5              0            9            13
ma_trader26      10.00         10   0.93     0.77   6.97     3  32.38            10             13            6           413
ma_trader23      10.00         10   0.23     0.67  10.28     1  18.75             8             12            4          1196
ma_trader24      10.00         10   0.45     0.89   0.35    38 322.21             4              0           15            13
ma_trader21      10.00         10   0.56     0.57   4.55     2  21.49             4              5            4           620
ma_trader22      10.00         10   0.27     0.94  10.52     4  44.40             3              6            4          1168
ma_trader20      10.00         10   0.74     0.53   6.92     2  23.86             6              4            5           618
ma_trader18      10.00         10   0.29     0.86  19.07     0  19.07             3             11            3          2822
ma_trader19      10.00         10   0.90     0.03   0.48    15 127.53             8              1           10            10
ma_trader38      10.00         10   0.45     0.36   0.38    24 203.65             3              1            9            12
ma_trader39      10.00         10   0.19     0.35   0.97    17 144.96             7              1            7            11
ma_trader36      10.00         10   0.24     0.96   0.84    14 119.41             4              1            6            12
ma_trader37      10.00         10   0.12     0.61   0.92    45 382.06             9              4           15            24
ma_trader9      10.00         10   0.19     0.59   0.41    21 178.27            10              0           17             7
ma_trader34      10.00         10   0.48     0.82  11.33     0  11.33             5              9            2          1412
ma_trader35      10.00         10   0.83     0.67   1.50     3  26.91             6              6            4            28
ma_trader32      10.00         10   0.83     0.38  13.12     3  38.53             5             12            5          1989
ma_trader33      10.00         10   0.69     0.48   3.64     4  37.52             6              5            6            45
ma_trader30      10.00         10   0.67     0.40   1.30     2  18.23            11             13            4           262
trader10        10.00         10   0.77     0.67  15.30     0  15.30            12             12           15           607
ma_trader31      10.00         10   0.10     0.82   0.93    44 373.60             7              7           14            12
trader12        10.00         10   0.55     0.08  31.87     0  31.87             6              1            4          1843
trader11        10.00         10   0.99     0.72  12.21     0  12.21            23             13           16           478
trader18        10.00         10   0.08     0.85  22.30     0  22.30             5              0            0            38
trader17        10.00         10   0.65     0.23  21.48     0  21.48            11              5           11          1526
trader19        10.00         10   0.42     0.30  21.55     0  21.55            14              4           16           876
trader14        10.00         10   0.57     0.74  15.88     0  15.88            13              9           10           326
trader13        10.00         10   0.26     0.06  55.74     0  55.74            10              0            4          1032
trader16        10.00         10   0.69     0.11  41.37     0  41.37            18              2            8          2329
trader15        10.00         10   0.52     0.94  26.39     0  26.39             6              1            0           115
ma_trader29      10.00         10   0.59     0.96  14.05     3  39.45             4              1            3          2134
