TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
trader1         10.00         10   0.67     0.77  19.76     0  19.76           626            414          512           376
trader3         10.00         10   0.55     0.68   3.69     0   3.69           234            221          218           230
trader2         10.00         10   0.97     0.32   4.27     0   4.27           363            288          352           500
trader5         10.00         10   0.30     0.24   3.81     3  11.00           296            145          353           289
trader4         10.00         10   0.55     0.98  22.51     0  22.51            47             28           32            24
trader7         10.00         10   0.47     0.51   1.98     0   1.98           217            213          199           255
trader6         10.00         10   1.00     0.16   2.90     0   2.90           556            345          633           695
trader9         10.00         10   0.17     0.34   3.27     4  12.86           185            140          210           164
trader8         10.00         10   0.05     0.07   1.41    16  39.74             6              9           13            20
ma_trader16      10.00         10   0.58     0.88   0.87     6  15.24             9              4           10            26
ma_trader17      10.00         10   0.30     0.59   0.47    28  67.54             9             11           12            24
ma_trader14      10.00         10   0.83     0.03   0.20    12  28.94             8             12            9             9
ma_trader15      10.00         10   0.90     0.19   0.35     9  21.91             6              1            9            30
ma_trader12      10.00         10   0.24     0.64   0.19     7  16.96             4              0            9            27
ma_trader13      10.00         10   0.54     0.24   0.66    25  60.54             4             16           13             3
ma_trader10      10.00         10   0.79     0.66   0.75    10  24.70             9              6            7            25
ma_trader11      10.00         10   0.63     0.36   0.25    26  62.53             6              5           11             3
trader43        10.00         10   0.78     0.91   6.47     0   6.47           157            131          137           139
trader42        10.00         10   0.33     0.80  10.45     0  10.45           223            170          166           145
trader45        10.00         10   0.63     0.87   7.90     0   7.90           234            204          192           144
trader44        10.00         10   0.80     0.53   3.55     0   3.55           647            454          609           582
trader41        10.00         10   0.82     0.19   9.70     0   9.70           602            397          773           688
trader40        10.00         10   0.84     0.28   2.38     1   4.78           502            374          534           625
trader47        10.00         10   0.15     0.64   5.17     4  14.75           144            117          139           108
trader46        10.00         10   0.90     0.50   1.18     1   3.58           512            439          485           574
trader49        10.00         10   1.00     0.90   7.74     0   7.74           232            203          200           213
trader48        10.00         10   0.27     0.92   9.19     0   9.19            78             45           56            43
trader54        10.00         10   0.81     0.99  16.87     0  16.87            29             28           15            10
trader53        10.00         10   0.88     0.05   0.33     8  19.49           230            107          308           353
trader55        10.00         10   0.48     0.59  11.61     0  11.61           647            474          593           449
trader50        10.00         10   0.20     0.45  14.93    17  55.65           368            221          345           240
trader52        10.00         10   0.21     0.37 104.40    28 171.47           450            201          485           283
trader51        10.00         10   0.07     0.81  50.33     0  50.33            51             33           43            39
ma_trader45      10.00         10   0.92     0.71   0.46    30  72.32             5              2           17            22
ma_trader43      10.00         10   0.08     0.25   0.48     9  22.04             4              4           11            12
ma_trader44      10.00         10   0.05     0.66   0.25    17  40.96             9              6           11            18
trader21        10.00         10   0.34     0.54   9.26     1  11.65           275            206          261           262
ma_trader41      10.00         10   0.45     0.56   0.54    32  77.19             7              5           14            18
trader20        10.00         10   0.82     0.65   1.23     2   6.02           502            359          433           439
ma_trader42      10.00         10   0.15     0.73   0.65    32  77.30             3              0           19            10
trader23        10.00         10   0.41     0.98  15.17     0  15.17            36             20           25            28
