TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
ma_trader40      10.00         10   0.46     0.52   0.85    26  63.12             6              7           13            12
trader22        10.00         10   0.68     0.34   1.70     1   4.09           578            345          608           583
trader29        10.00         10   0.61     0.53   6.16     0   6.16           479            377          444           424
trader28        10.00         10   0.56     0.36   2.83     2   7.62           427            352          426           474
trader25        10.00         10   0.76     0.80   3.66     0   3.66           171            146          146           178
trader24        10.00         10   0.05     0.70  12.94     0  12.94            42             29           30            24
trader27        10.00         10   0.37     0.05  18.90    15  54.83            74             33           95            65
trader26        10.00         10   0.88     0.75  12.38     1  14.77           881            657          727           534
ma_trader5      10.00         10   0.16     0.84   0.47    18  43.59             6             12           13             9
ma_trader6      10.00         10   0.69     0.63   0.57    15  36.50             2              4            4            11
ma_trader7      10.00         10   0.54     0.70   0.80    13  31.94            11             10           11            10
ma_trader8      10.00         10   0.99     0.59   0.21     9  21.77             4              3           10             8
ma_trader1      10.00         10   0.06     0.40   0.54    23  55.63             5             12            9             3
ma_trader2      10.00         10   0.15     0.22   0.96    15  36.89             5              1            6             9
ma_trader3      10.00         10   0.32     0.72   0.98    13  32.11             8              1           13            12
ma_trader4      10.00         10   0.24     0.58   0.15    32  76.80             8              6           11             7
trader32        10.00         10   0.70     0.00   0.68    16  39.01            16              9           25            17
trader31        10.00         10   0.61     0.77   2.86     0   2.86           529            361          420           266
trader34        10.00         10   0.16     0.27   6.63    26  68.91           247            116          285           200
trader33        10.00         10   0.94     0.24   1.46     1   3.85           607            429          708           755
trader30        10.00         10   0.68     0.53   5.23     0   5.23           627            501          584           559
trader39        10.00         10   0.08     0.09   3.40    11  29.75            30             12           51            50
trader36        10.00         10   0.20     0.31   5.05     2   9.84           244            124          278           192
trader35        10.00         10   0.79     0.87   5.52     0   5.52           246            214          204           180
trader38        10.00         10   0.94     0.42   1.83     0   1.83           886            611          889           763
trader37        10.00         10   0.53     0.63   5.76     0   5.76           447            391          408           415
ma_trader27      10.00         10   0.35     0.13   0.42     7  17.19             5              0            7            14
ma_trader28      10.00         10   0.83     0.19   0.87    26  63.14             6              5           16            16
ma_trader25      10.00         10   0.05     0.20   0.63    23  55.72             8              6            6             8
ma_trader26      10.00         10   0.11     0.03   0.65    15  36.58             6              2           12            11
ma_trader23      10.00         10   0.96     0.16   0.37    18  43.48             7              2           11             4
ma_trader24      10.00         10   0.34     0.57   0.24    28  67.30             9             15           12            12
ma_trader21      10.00         10   0.82     0.73   0.41    32  77.06             7              4           16             9
ma_trader22      10.00         10   0.27     0.87   0.86     6  15.23             5              2            9            11
ma_trader20      10.00         10   0.88     0.96   0.68    16  39.01             6              2            7             4
ma_trader18      10.00         10   0.87     0.36   0.80    27  65.47             6              0           15             6
ma_trader19      10.00         10   0.41     0.37   0.82     8  19.98             6              2            7             7
ma_trader38      10.00         10   0.11     0.21   0.42    20  48.33             6             12            9            13
ma_trader39      10.00         10   0.99     0.94   0.63    21  50.93             3              0           10             7
ma_trader36      10.00         10   0.05     0.91   0.71     9  22.26             8              6           10            18
ma_trader37      10.00         10   0.90     0.55   0.96     9  22.52             7              6            8            14
ma_trader9      10.00         10   0.27     0.18   0.42    16  38.75             3              3            5             8
ma_trader34      10.00         10   0.35     0.08   0.97    19  46.48             7              6            9             9
ma_trader35      10.00         10   0.26     0.48   0.47    11  26.82             4              7            6             4
ma_trader32      10.00         10   0.08     0.47   0.94     8  20.10             4              5            9             6
ma_trader33      10.00         10   0.58     0.12   0.52    15  36.44             5              1           11             6
trader10        10.00         10   0.05     0.29   2.42    26  64.70           101             32          101            83
ma_trader30      10.00         10   0.22     0.64   0.39    12  29.14             6              5            8             9
ma_trader31      10.00         10   0.84     0.31   0.77    23  55.86             9              1            6             8
trader12        10.00         10   0.59     0.99  25.00     0  25.00            19             21            9            11
trader11        10.00         10   0.10     0.61  41.29     5  53.27           141             74          140            93
trader18        10.00         10   0.22     0.66  13.44     0  13.44           192            159          171           123
trader17        10.00         10   0.14     0.15   4.85    13  35.99           129             52          177           189
trader19        10.00         10   0.95     0.22   1.80     1   4.19           725            400          868           790
trader14        10.00         10   0.57     0.74   4.32     0   4.32           329            244          306           258
trader13        10.00         10   0.53     0.42   3.51     0   3.51           249            205          239           265
trader16        10.00         10   0.16     0.55   3.38     0   3.38           117             86          104            99
trader15        10.00         10   0.11     0.16  19.71     9  41.26           102             47          136           102
ma_trader29      10.00         10   0.29     0.47   0.85    10  24.81             5             17            9            15
