Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.14,0.08,10,25
3,1.24,0.37,12,34
4,1.29,0.54,9,20
5,1.40,0.77,13,31
6,1.44,1.03,19,40
7,1.55,1.28,10,23
8,1.55,1.49,16,34
9,1.61,1.76,11,23
10,1.62,1.98,12,17
11,1.73,2.22,13,21
12,1.83,2.53,20,35
13,1.87,2.85,12,21
14,1.92,3.28,14,29
15,2.05,3.47,11,19
16,2.14,3.79,14,17
17,2.11,4.23,12,23
18,2.10,4.75,16,33
19,2.04,5.21,12,34
20,1.92,5.66,18,38
21,1.78,5.77,8,10
22,1.66,5.88,9,13
23,1.61,6.05,11,20
24,1.55,6.45,17,31
25,1.52,6.80,15,42
26,1.57,7.50,18,59
27,1.56,7.73,17,27
28,1.55,8.07,15,40
29,1.48,8.37,14,37
30,1.43,8.64,10,20
31,1.30,8.73,7,14
32,1.30,9.13,14,43
33,1.25,9.53,11,39
34,1.22,9.73,16,35
35,1.21,10.00,14,37
36,1.21,10.14,15,39
37,1.21,10.31,12,31
38,1.14,10.50,15,45
39,1.11,10.66,11,27
40,1.08,10.81,12,33
41,1.11,11.01,10,32
42,1.14,11.24,11,25
43,1.11,11.46,12,32
44,1.14,11.59,8,15
45,1.12,11.92,12,32
46,1.08,12.29,13,39
47,1.06,12.42,11,24
48,1.06,12.62,11,31
49,1.05,12.82,11,23
50,0.97,12.96,12,22
51,0.92,13.16,10,29
52,0.87,13.27,12,29
53,0.84,13.37,13,16
54,0.86,13.38,3,4
55,0.92,13.48,8,12
56,0.92,13.52,8,10
57,0.91,13.67,13,28
58,0.91,13.76,4,12
59,0.99,13.79,4,17
60,1.07,13.84,4,6
61,1.07,13.89,2,7
62,1.07,13.91,2,3
63,1.23,13.96,3,18
64,1.39,14.00,2,6
65,1.47,14.03,2,3
66,1.62,14.06,3,5
67,1.79,14.09,1,1
68,1.72,14.23,1,6
69,1.85,14.28,1,4
70,1.85,14.28,0,0
71,2.03,14.37,2,5
72,2.23,14.37,1,1
73,2.39,14.41,3,4
74,2.39,14.41,0,0
75,2.39,14.41,0,0
76,2.39,14.41,0,0
77,2.53,14.44,2,2
78,2.53,14.44,0,0
79,2.53,14.44,0,0
80,2.53,14.44,0,0
81,2.62,14.59,3,6
82,2.98,14.60,1,1
83,2.98,14.60,0,0
84,2.98,14.60,0,0
85,3.01,14.80,2,8
86,3.01,14.80,0,0
87,3.47,14.84,4,7
88,3.47,14.84,0,0
89,3.66,14.92,2,4
90,3.97,14.93,1,1
91,3.97,14.93,0,0
92,3.97,14.93,0,0
93,3.97,14.93,0,0
94,3.97,14.93,0,0
95,4.09,14.98,1,2
96,4.33,15.03,1,1
97,4.48,15.47,6,13
98,4.48,15.47,0,0
