TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
ma_trader46      10.00         10   0.64     0.92   7.51     2  66.26             7              2            5            39
ma_trader43      10.00         10   0.21     0.16   1.77    22 647.98             3             13           15            16
ma_trader44      10.00         10   0.21     0.75   0.22    13 382.07             6              2            7             5
trader21        10.00         10   0.36     0.36  16.90     0  16.90            12              4           10            61
ma_trader41      10.00         10   0.64     0.77   0.40    18 529.12             3             10           13             9
trader20        10.00         10   1.00     0.53  20.67     0  20.67            34             33           37           209
ma_trader42      10.00         10   0.50     0.09   9.44     1  38.82             9              6            4            26
trader23        10.00         10   0.55     0.81  28.34     0  28.34            32             31           26           164
trader22        10.00         10   0.82     0.71  23.20     0  23.20            32             28           23           164
ma_trader40      10.00         10   0.92     0.56   2.10    12 354.58             5              5            9            20
trader25        10.00         10   0.09     0.49  26.56     1  55.94            26             35           18           118
trader24        10.00         10   0.88     0.50  25.05     0  25.05            59             56           50           359
ma_trader5      10.00         10   0.12     0.57   1.91    23 677.49             5              7           14            15
ma_trader6      10.00         10   0.83     0.77   0.99     3  89.11             3              0            7            39
ma_trader7      10.00         10   0.20     0.64   0.53    13 382.38             4              0            5             8
ma_trader8      10.00         10   0.26     0.47   9.65     1  39.03             8              2            2            30
ma_trader1      10.00         10   0.82     0.96   0.95    20 588.41             9             14           13            15
ma_trader2      10.00         10   0.28     0.69   8.82     2  67.57             7              9            4            30
ma_trader3      10.00         10   0.61     0.42   7.68     1  37.05             6              6            4            24
ma_trader4      10.00         10   0.36     0.89   0.97    13 382.82             7              0           10             5
ma_trader58      10.00         10   0.47     0.32   0.95    29 852.77             8             11           11             1
ma_trader59      10.00         10   0.69     0.24   2.43    20 589.89             9              5           10            29
ma_trader56      10.00         10   0.37     0.53   1.75     3  89.87             7              1            5            25
ma_trader57      10.00         10   0.23     0.78   0.37    19 558.46             5             10           10            13
ma_trader54      10.00         10   0.86     0.47   1.49    12 353.97             4              0            5             9
ma_trader55      10.00         10   0.69     0.93   0.18    26 763.88             5              2            9            12
ma_trader52      10.00         10   0.77     0.34   0.25    20 587.71             8             10           14            10
ma_trader53      10.00         10   0.33     0.58   6.45     1  35.82            12              7            6            26
ma_trader50      10.00         10   0.76     0.70  10.09     2  68.84             6              3            5            52
ma_trader51      10.00         10   0.50     0.25   2.41     3  90.53             5              4            5            22
ma_trader27      10.00         10   0.87     0.69   0.39    24 705.34             9              8           14            15
ma_trader28      10.00         10   0.87     0.01   0.68    24 705.63             6              4           16            18
ma_trader25      10.00         10   0.13     0.09   7.00     1  36.38             4              2            3            12
ma_trader26      10.00         10   0.23     0.13   2.97    17 502.31             7             14            9            15
ma_trader23      10.00         10   0.87     0.81   1.56    12 354.04             6              0            6            15
ma_trader24      10.00         10   0.70     0.96   9.00     1  38.38             7              7            5            31
ma_trader21      10.00         10   0.23     0.39   1.16    22 647.37             6              9           12            12
ma_trader22      10.00         10   0.76     0.85   0.77    24 705.73             6              5           14             1
ma_trader20      10.00         10   0.96     0.27   0.39    20 587.85            11              0           11             7
ma_trader18      10.00         10   0.41     0.19   1.22     3  89.33             3              4            5            45
ma_trader19      10.00         10   0.34     0.91   0.99    20 588.45             8              1           11            10
ma_trader38      10.00         10   0.01     0.51   7.94     1  37.31             8              6            3            26
ma_trader39      10.00         10   0.26     0.03   2.18     6 178.42             7              6            8            21
ma_trader36      10.00         10   0.96     0.95   5.91    17 505.26             8             10            8            38
ma_trader37      10.00         10   0.81     0.32   5.58     3  93.70             5              6            5            42
ma_trader34      10.00         10   0.20     0.61   3.37     2  62.11             7              1            6            39
ma_trader9      10.00         10   0.15     0.56   1.82     3  89.93             5              8            6            48
ma_trader35      10.00         10   0.43     0.52   6.90     3  95.02             4              1            5            32
ma_trader32      10.00         10   0.63     0.73   1.71    22 647.92             5              9           14            17
ma_trader33      10.00         10   0.78     0.98   2.59    24 707.54             7              9           12            11
trader10        10.00         10   0.64     0.39  52.08     0  52.08           123            264          114           884
ma_trader30      10.00         10   0.27     0.49   0.72    13 382.57             5              4            8             6
ma_trader31      10.00         10   0.21     0.49   8.36     3  96.48             8              8            6            40
trader12        10.00         10   0.23     0.08  61.95     3 150.06            49             60           51           261
trader11        10.00         10   0.27     0.75  25.19     0  25.19            23             17           17            95
trader18        10.00         10   0.94     0.70  21.14     0  21.14            40             41           34           238
trader17        10.00         10   0.85     0.79  18.96     0  18.96            40             44           24           117
trader19        10.00         10   0.35     0.26  24.09     0  24.09            47             46           42           360
trader14        10.00         10   0.50     0.04  13.04     5 159.90            46             52           48           360
trader13        10.00         10   0.25     0.11  26.03    11 349.14            52             87           61           379
trader16        10.00         10   0.25     0.15  28.67     6 204.91            92            143           78           578
trader15        10.00         10   0.40     0.97  27.10     0  27.10             9              7            3            20
ma_trader29      10.00         10   0.58     0.22   0.96    16 470.93             9              0           10             3
