TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
trader1         10.00         10   0.53     0.28  38.42     0  38.42            80             88           74           513
trader3         10.00         10   0.78     0.22  15.83     0  15.83            32             22           20           213
trader2         10.00         10   0.89     0.97  19.93     0  19.93            10              5            6            15
trader5         10.00         10   0.34     0.81  16.08     0  16.08            14              7            7            19
trader4         10.00         10   0.06     0.91  39.24     0  39.24             5              4            1             9
trader7         10.00         10   0.31     0.15  47.36     0  47.36            65             65           62           445
trader6         10.00         10   0.33     0.88  28.21     0  28.21             9             16            4            44
trader9         10.00         10   0.13     0.73  22.64     0  22.64             8              9            4            22
trader8         10.00         10   0.51     0.80  24.06     0  24.06            29             34           23           144
ma_trader16      10.00         10   0.10     0.96   0.71    14 411.94             5              2            6            12
ma_trader17      10.00         10   0.56     0.19   0.19    25 734.52            11             10           14             5
ma_trader14      10.00         10   0.14     0.52   0.68    14 411.90             8              1            4             4
ma_trader15      10.00         10   0.06     0.85   8.85     1  38.22             9              6            5            38
ma_trader12      10.00         10   0.41     0.69   9.97     3  98.09             5              8            3            34
ma_trader13      10.00         10   0.82     0.72   1.01    20 588.47             9              1           11            13
ma_trader10      10.00         10   0.74     0.45   0.63    26 764.33             4              0           11            14
ma_trader11      10.00         10   0.32     0.48   1.13    23 676.71             7              6           14            17
ma_trader69      10.00         10   0.58     0.95   5.99     3  94.11             8              8            4            24
ma_trader67      10.00         10   0.04     0.44  10.56     1  39.93             6              2            4            45
ma_trader68      10.00         10   0.72     0.21   2.05    18 530.76             3              1           12            29
ma_trader65      10.00         10   0.65     0.72   0.99    14 412.22             5              1            9             6
ma_trader66      10.00         10   0.02     0.80   5.06    10 298.79             5              5            5            34
ma_trader63      10.00         10   0.81     0.22   1.36    18 530.07             7              0            8            10
ma_trader64      10.00         10   0.12     0.40   2.32     3  90.44             4              0            6            20
ma_trader61      10.00         10   0.37     0.38   0.26    22 646.47             9              1           11            13
ma_trader62      10.00         10   0.77     0.18   0.34    22 646.55             8             13            7            15
ma_trader60      10.00         10   0.68     0.02   6.83    15 447.42             4              3            5            29
ma_trader74      10.00         10   0.46     0.00   9.88     3  98.00             5             15            5            31
ma_trader75      10.00         10   0.77     0.36   0.52    19 558.61             6              0           10            13
ma_trader72      10.00         10   0.21     0.81   0.67    23 676.25             6             10           10            13
ma_trader73      10.00         10   0.18     0.05   0.96    23 676.54             8             10           13            10
ma_trader70      10.00         10   0.58     0.90   1.18    19 559.27             5              2            7            10
ma_trader71      10.00         10   0.31     0.54   0.26    28 822.71             7              9           11            12
ma_trader49      10.00         10   0.82     0.76   0.53    22 646.74             8              8           10            13
ma_trader47      10.00         10   0.03     0.60   1.62    23 677.20             5             11           12            20
ma_trader48      10.00         10   0.00     0.13   5.90     1  35.27             6              1            3            38
ma_trader45      10.00         10   0.60     0.05   4.58     1  33.95             7              6            4            51
