Step,Price,ManagerIncome,NbOp,NbSh
226,1.66,38.88,5,13
227,1.66,39.06,8,25
228,1.63,39.11,6,11
229,1.69,39.15,4,8
230,1.60,39.22,8,17
231,1.66,39.36,3,12
232,1.69,39.55,9,20
233,1.73,39.66,7,16
234,1.67,39.82,8,22
235,1.77,39.90,6,12
236,1.74,40.13,9,21
237,1.66,40.23,4,11
238,1.69,40.32,8,15
239,1.76,40.40,5,11
240,1.72,40.64,9,19
241,1.68,40.81,8,17
242,1.68,40.94,6,12
243,1.53,41.20,9,19
244,1.52,41.47,9,25
245,1.62,41.66,6,22
246,1.64,41.75,6,12
247,1.65,41.88,8,23
248,1.71,41.98,10,12
249,1.74,42.10,6,9
250,1.77,42.27,8,13
251,1.83,42.45,11,16
252,1.90,42.66,6,16
253,1.89,42.78,6,10
254,1.88,42.85,8,14
255,1.94,43.04,6,14
256,1.80,43.21,10,18
257,1.71,43.48,10,24
258,1.72,43.57,5,7
259,1.76,43.73,6,18
260,1.76,43.92,8,24
261,1.83,44.06,8,16
262,1.84,44.19,7,21
263,1.91,44.35,6,11
264,1.89,44.36,3,4
265,1.92,44.47,7,11
266,1.95,44.66,7,14
267,1.90,44.70,5,8
268,1.93,44.78,7,14
269,2.06,44.81,3,7
270,2.07,44.95,6,14
271,2.14,45.03,9,11
272,2.17,45.20,7,13
273,2.09,45.31,4,6
274,2.28,45.43,3,6
275,2.20,45.71,6,17
276,2.13,46.08,8,27
277,1.98,46.19,4,8
278,2.00,46.21,3,3
279,2.16,46.30,6,18
280,1.96,46.37,5,7
281,1.88,46.58,7,11
282,1.83,46.66,5,15
283,1.73,46.86,4,8
284,1.78,47.04,4,21
285,1.84,47.12,6,8
286,1.80,47.27,6,13
287,1.75,47.50,8,20
288,1.81,47.51,2,2
289,1.78,47.69,8,17
290,1.86,47.90,10,21
291,1.85,48.04,7,15
292,1.96,48.25,9,14
293,1.97,48.48,7,16
294,2.01,48.51,2,3
295,1.98,48.63,6,14
296,1.95,48.74,5,10
297,1.84,49.04,10,32
298,1.83,49.16,11,20
299,1.77,49.28,6,15
300,1.53,49.46,5,17
301,1.49,49.68,6,14
302,1.52,49.72,7,9
303,1.58,49.88,11,26
304,1.62,50.06,9,21
305,1.76,50.25,9,15
306,1.76,50.26,2,2
307,1.74,50.37,4,5
308,1.87,50.68,4,14
309,1.68,50.99,6,11
310,1.70,51.05,5,9
311,1.75,51.12,5,13
312,1.78,51.55,9,29
313,1.72,51.74,8,17
314,1.69,51.91,5,14
315,1.76,52.10,6,13
316,1.76,52.35,9,26
317,1.53,52.53,7,10
318,1.50,52.63,5,11
319,1.67,52.84,4,16
320,1.59,52.98,6,13
321,1.54,53.29,11,28
322,1.50,53.42,7,24
323,1.52,53.52,10,16
324,1.41,53.67,7,12
325,1.40,53.81,9,20
326,1.39,54.03,13,31
327,1.36,54.15,8,18
328,1.41,54.34,11,29
329,1.39,54.55,9,32
330,1.35,54.70,9,25
331,1.35,54.84,11,31
332,1.36,54.84,2,2
333,1.30,54.87,4,5
334,1.29,54.93,7,30
335,1.24,55.24,10,33
336,1.28,55.43,7,21
337,1.40,55.53,5,12
338,1.42,55.60,7,12
339,1.48,55.76,12,21
340,1.41,55.80,4,10
341,1.47,55.93,7,17
342,1.61,56.04,5,13
343,1.65,56.23,9,24
344,1.63,56.41,8,16
345,1.48,56.50,3,8
346,1.36,56.73,8,19
347,1.30,56.85,4,16
348,1.27,57.11,12,36
349,1.19,57.22,7,12
350,1.25,57.35,9,26
351,1.32,57.60,13,30
352,1.18,57.69,4,8
353,1.26,57.79,10,19
354,1.20,57.93,5,27
355,1.13,57.99,8,18
356,1.17,58.18,5,20
357,1.25,58.28,3,14
358,1.32,58.28,2,3
359,1.30,58.38,4,11
360,1.44,58.51,7,10
361,1.48,58.60,4,9
362,1.50,58.69,3,6
363,1.49,58.85,7,23
364,1.48,59.03,6,19
365,1.50,59.22,7,16
366,1.44,59.34,5,15
367,1.45,59.48,9,19
368,1.54,59.53,4,9
369,1.52,59.64,7,14
370,1.48,59.75,5,10
371,1.49,59.84,4,10
372,1.49,59.94,10,20
373,1.51,60.01,6,10
374,1.62,60.26,7,35
375,1.69,60.39,5,16
376,1.64,60.41,3,5
377,1.64,60.66,11,31
378,1.58,60.79,6,17
379,1.49,60.92,9,19
380,1.45,60.98,6,12
381,1.35,61.06,2,5
382,1.36,61.11,7,13
383,1.38,61.28,8,18
384,1.49,61.31,3,5
385,1.68,61.49,7,14
386,1.58,61.64,7,19
387,1.62,61.85,7,13
388,1.60,62.01,8,19
389,1.61,62.24,10,20
390,1.63,62.39,8,18
391,1.70,62.44,7,14
392,1.80,62.56,6,14
393,1.78,62.81,6,13
394,1.84,62.92,4,10
395,1.79,63.00,5,8
396,1.86,63.07,4,5
397,1.72,63.25,4,12
398,1.67,63.31,6,15
399,1.52,63.44,6,18
400,1.37,63.57,6,11
401,1.37,63.71,8,15
402,1.34,63.73,3,3
403,1.28,63.93,6,17
404,1.27,64.03,6,13
405,1.23,64.22,5,13
406,1.35,64.29,6,21
407,1.27,64.29,1,2
408,1.32,64.43,8,21
409,1.30,64.51,6,13
410,1.45,64.62,4,10
411,1.41,64.77,6,18
412,1.45,64.91,7,13
413,1.43,64.93,3,7
414,1.43,65.17,9,27
415,1.46,65.23,3,7
416,1.54,65.48,7,19
417,1.53,65.65,6,13
418,1.61,65.78,9,19
419,1.68,65.95,6,17
420,1.63,66.03,7,20
421,1.66,66.07,5,10
422,1.77,66.22,5,16
423,1.76,66.33,6,7
424,1.73,66.49,9,22
425,1.77,66.64,3,7
426,1.77,66.85,13,27
427,1.73,66.92,6,7
428,1.86,66.99,4,7
429,1.83,67.08,5,10
430,1.84,67.24,11,20
431,1.85,67.29,3,6
432,1.74,67.47,7,13
433,1.85,67.58,5,16
434,1.99,67.63,5,8
435,1.97,67.70,3,6
436,2.03,67.98,7,16
437,2.10,68.40,10,25
438,2.34,68.45,3,3
439,2.35,68.61,9,17
440,2.35,68.74,5,15
441,2.37,68.89,6,8
442,2.12,69.18,7,15
443,2.22,69.32,7,15
444,2.26,69.44,5,12
445,2.18,69.51,2,3
446,2.07,69.54,4,5
447,2.03,69.80,8,13
448,2.06,69.85,5,6
449,2.06,70.02,7,15
450,2.07,70.26,9,19
451,2.04,70.31,5,6
452,1.98,70.49,8,20
453,2.00,70.68,7,26
454,2.10,70.81,8,17
455,2.13,70.90,5,12
456,2.19,71.33,8,26
457,2.12,71.54,6,10
458,2.09,71.73,7,12
459,2.08,71.85,5,9
460,2.23,71.93,2,4
461,2.39,71.99,5,7
462,2.40,72.36,9,17
463,2.41,72.39,3,3
464,2.32,72.43,3,6
465,2.39,72.53,6,12
466,2.35,72.56,2,2
467,2.14,73.00,9,25
468,2.17,73.22,8,22
469,2.02,73.51,5,13
470,2.02,73.73,5,12
471,2.02,73.85,4,7
472,1.85,73.90,5,10
473,1.80,74.00,7,9
474,1.76,74.09,6,9
475,1.68,74.16,6,10
476,1.72,74.31,8,11
477,1.72,74.38,3,7
478,1.72,74.45,4,6
479,1.78,74.57,7,13
480,1.83,74.65,4,7
481,1.94,74.80,7,11
482,1.87,74.91,5,9
483,1.81,75.11,5,9
484,1.78,75.26,5,13
485,1.83,75.31,4,10
486,1.92,75.47,5,13
487,1.79,75.56,5,12
488,1.75,75.82,8,18
489,1.76,75.94,6,12
490,1.70,75.97,5,5
491,1.72,76.07,5,13
492,1.68,76.28,8,13
493,1.87,76.41,5,9
494,2.07,76.47,3,6
495,2.22,76.63,5,9
496,2.31,76.66,2,3
497,2.29,76.77,7,14
498,2.17,76.82,4,7
499,2.29,76.86,2,2
500,2.35,77.06,7,11
501,2.24,77.17,4,10
502,2.10,77.28,3,15
503,2.17,77.34,4,9
504,2.23,77.44,5,6
505,2.08,77.57,4,12
506,2.00,77.68,5,11
507,1.81,77.81,6,14
508,1.74,77.91,6,13
509,1.75,77.92,2,2
510,1.71,77.96,3,6
511,1.74,78.00,8,17
512,1.73,78.11,8,12
513,1.79,78.26,7,13
514,1.81,78.29,2,3
515,1.79,78.32,3,3
516,1.74,78.40,4,9
517,1.68,78.49,5,6
518,1.61,78.60,4,10
519,1.71,78.64,3,5
520,1.79,78.77,10,22
521,1.93,78.82,7,12
522,1.89,78.91,4,15
523,1.77,79.05,4,9
524,1.86,79.10,3,5
525,1.83,79.15,5,8
526,1.72,79.32,4,7
527,1.59,79.43,6,8
528,1.87,79.45,1,3
529,1.89,79.48,3,4
530,2.14,79.51,3,4
531,2.10,79.70,9,16
532,2.15,79.84,7,13
533,2.13,80.05,8,16
534,2.14,80.12,3,9
535,2.09,80.33,10,16
536,2.08,80.42,4,8
537,2.02,80.59,5,16
538,2.09,80.69,4,7
539,2.28,80.94,8,14
540,2.26,81.09,7,12
541,2.25,81.28,6,14
542,2.22,81.31,5,7
543,2.20,81.65,6,24
544,2.22,81.75,5,7
545,2.03,82.05,8,21
546,2.00,82.15,6,14
547,2.02,82.38,8,20
548,2.01,82.44,5,5
549,2.08,82.87,6,17
550,1.93,82.96,7,9
551,1.97,83.00,5,8
552,2.06,83.06,6,7
553,1.98,83.15,6,12
554,1.95,83.54,7,15
555,1.94,83.62,6,12
556,1.96,83.82,8,30
557,1.98,83.87,3,4
558,2.07,83.95,4,5
559,1.86,84.24,6,16
560,1.87,84.30,3,6
561,1.87,84.40,6,13
562,1.88,84.61,9,23
563,1.66,85.00,9,28
564,1.69,85.17,5,16
565,1.78,85.26,6,8
566,1.89,85.39,7,16
567,1.87,85.42,4,7
568,1.82,85.75,5,16
569,1.77,85.82,4,8
570,1.79,85.86,5,6
571,1.78,85.95,6,9
572,1.63,86.04,3,7
573,1.62,86.12,5,17
574,1.64,86.24,6,13
575,1.58,86.33,6,8
576,1.53,86.50,8,20
577,1.53,86.55,7,13
578,1.74,86.69,7,11
579,1.76,86.85,10,15
580,1.65,87.35,11,28
581,1.70,87.54,6,12
582,1.79,87.70,5,10
583,1.83,87.76,4,9
584,1.86,87.98,9,16
