TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
trader1         10.00         10   0.70     0.82  23.98     0  23.98            11              9            5           353
trader3         10.00         10   0.92     0.95  21.94     0  21.94             6              1            1           132
trader2         10.00         10   0.96     0.26  19.00     0  19.00            27              4           26          1598
trader5         10.00         10   0.73     0.56  34.44     0  34.44            32             12           15          1084
trader4         10.00         10   0.19     0.75  32.49     0  32.49             7              4            5           180
ma_trader85      10.00         10   0.03     0.61   6.02     1  16.76             8              1            4           550
trader7         10.00         10   0.83     0.12  14.65     0  14.65            13              3           17          1062
trader6         10.00         10   0.91     0.68  18.22     0  18.22            24             11           19           620
ma_trader83      10.00         10   0.53     0.53  13.81     0  13.81             3              4            3          1166
trader9         10.00         10   0.42     0.00 149.01     0 149.01            15              1            6          1726
ma_trader84      10.00         10   0.73     0.65   0.27    27 290.27             6              0           14            13
trader8         10.00         10   0.13     0.81  76.61     0  76.61            18              3            6            98
ma_trader81      10.00         10   0.55     0.77   1.05    31 334.01             6              3           13            17
ma_trader82      10.00         10   0.18     0.54   0.99    32 344.69             6             11           13            10
ma_trader80      10.00         10   0.27     0.48   9.53     1  20.27             5              5            5           202
ma_trader16      10.00         10   0.16     0.45   2.83     4  45.79             8              6            6           318
ma_trader17      10.00         10   0.85     0.86   0.99    19 205.06             7             16            8             9
ma_trader14      10.00         10   0.63     0.44   9.03     1  19.77             4             11            3           256
ma_trader15      10.00         10   0.36     0.68   0.47    33 354.91             9              1           12             7
ma_trader12      10.00         10   0.39     0.17   0.39    33 354.83             6              0           11             9
ma_trader13      10.00         10   0.55     0.68   0.44    18 193.77             6              2            9            13
ma_trader10      10.00         10   0.60     0.85   6.62     9 103.29             8              9            7            66
ma_trader11      10.00         10   0.16     0.14  15.90     0  15.90             4              3            4          1703
ma_trader69      10.00         10   0.72     0.58   7.89     3  40.11             7              6            5            95
ma_trader67      10.00         10   0.31     0.08   4.44     1  15.18             7              4            6           218
ma_trader68      10.00         10   0.42     0.01   4.62     5  58.33            10             12            5            65
ma_trader65      10.00         10   0.09     0.23   3.55     2  25.03             4              9            5           139
ma_trader66      10.00         10   0.60     0.51   0.84    13 140.47             5              1            6             7
ma_trader63      10.00         10   0.69     0.52   0.40    26 279.66             9             13           13            10
ma_trader64      10.00         10   0.41     0.47   4.77     2  26.25             6              4            4            44
ma_trader61      10.00         10   0.25     0.72   0.62    18 193.95             5              8            8            11
ma_trader62      10.00         10   0.33     0.61   0.11    16 171.96             7              0           13             7
ma_trader60      10.00         10   0.53     0.52  11.90     3  44.12             7              8            4           684
ma_trader78      10.00         10   0.51     0.19   4.92     7  80.10             3              3            5            34
ma_trader79      10.00         10   0.90     0.15   0.77    13 140.40             4              0            5             7
ma_trader76      10.00         10   0.82     0.64   0.17    30 322.39             9              2           16             6
ma_trader77      10.00         10   0.92     0.67  16.17     0  16.17             5             13            4          1827
ma_trader74      10.00         10   0.39     0.27   4.36     1  15.10             6              2            5           640
ma_trader75      10.00         10   0.76     0.93  14.98     0  14.98             4              1            2          1515
ma_trader72      10.00         10   0.16     0.56   4.05     8  89.97             9              6            6            28
ma_trader73      10.00         10   0.42     0.97   0.62    16 172.47             9              1           10             9
ma_trader70      10.00         10   0.92     0.72   0.46    15 161.57             5              1            8            10
ma_trader71      10.00         10   0.08     0.09   2.76    19 206.83             6              4            8            16
ma_trader49      10.00         10   0.97     0.12   0.27    24 258.05             8              1           16            15
ma_trader47      10.00         10   0.84     0.57   0.61    30 322.83             5              2           14             9
ma_trader48      10.00         10   0.47     0.59   4.03     1  14.77             8              5            6           537
ma_trader45      10.00         10   0.72     0.66   6.31     1  17.05             3              5            4           718
ma_trader46      10.00         10   0.91     0.17   0.68    27 290.68             9              4            7            10
ma_trader43      10.00         10   0.47     0.00   0.82    28 301.56             7              8           14             7
ma_trader44      10.00         10   0.46     0.99  10.88     3  43.11             9              8            6           433
ma_trader41      10.00         10   0.81     0.48   0.52    14 150.89             6              0            6            11
ma_trader42      10.00         10   0.26     0.81  13.15     1  23.89             5              4            4          1244
ma_trader40      10.00         10   0.69     0.01   3.47     3  35.70             8              3            6           437
ma_trader5      10.00         10   0.80     0.40   5.43     2  26.91             4              4            3            48
ma_trader6      10.00         10   0.49     0.74  10.70     1  21.44             5              3            4           367
ma_trader7      10.00         10   0.67     0.28   3.31    15 164.42             9             10            9            70
ma_trader8      10.00         10   0.59     0.77   0.69    14 151.06             8              0            8             7
ma_trader1      10.00         10   0.90     0.93   2.70     3  34.92             6              9            7            77
ma_trader2      10.00         10   0.76     0.96   0.81    23 247.84             5              2           11            11
ma_trader3      10.00         10   0.08     0.63   0.32    13 139.94             6              2            6             7
ma_trader4      10.00         10   0.70     0.06  13.80     0  13.80             6              3            3          1255
ma_trader58      10.00         10   0.21     0.17   0.80    29 312.28             7              7           14            11
ma_trader59      10.00         10   0.65     0.82   0.98    17 183.57             7              1           10             7
ma_trader56      10.00         10   0.90     0.72   3.09     6  67.54             6              9            6            21
ma_trader57      10.00         10   0.93     0.91   5.92     1  16.66             5              5            4           642
ma_trader54      10.00         10   0.34     0.00  10.23     1  20.97             2              1            3           399
ma_trader55      10.00         10   0.07     0.14   0.52    13 140.15             7              0            6             6
ma_trader52      10.00         10   0.20     0.01   5.77     1  16.51             5              0            5           679
ma_trader53      10.00         10   0.47     0.17   0.20    31 333.16             5              1           11            18
ma_trader50      10.00         10   0.23     0.65   0.12    28 300.86             7              5           15            11
ma_trader51      10.00         10   0.68     0.24   6.87     1  17.61            10              8            4           118
ma_trader27      10.00         10   0.86     0.96   6.19     3  38.41             6              2            5            41
ma_trader28      10.00         10   0.19     0.06   0.55    21 226.10            10              2           15            14
ma_trader25      10.00         10   0.80     0.58   3.60     3  35.82             7              4            7            42
ma_trader26      10.00         10   0.43     0.79  11.02    13 150.65             8              0            8           669
ma_trader23      10.00         10   0.20     0.10  12.72     1  23.46             7              2            4          1450
ma_trader24      10.00         10   0.29     0.42   7.76     4  50.72             7              7            6            96
ma_trader21      10.00         10   0.20     0.06   7.93    14 158.30            12             10            7           679
ma_trader22      10.00         10   0.33     0.06   0.24    31 333.20             9              2           14             9
ma_trader20      10.00         10   0.90     0.23   6.88     1  17.62             6              6            5           256
ma_trader18      10.00         10   0.54     0.13   8.28     1  19.02             4              1            5           671
ma_trader19      10.00         10   0.20     0.33   6.68     1  17.42             2              3            4           619
ma_trader38      10.00         10   0.51     0.70   0.83    24 258.60             7              8           12            14
ma_trader39      10.00         10   0.67     0.47   0.90    31 333.86             8              1           16            12
ma_trader36      10.00         10   0.11     0.96   0.31    21 225.87             9              0           11             9
ma_trader37      10.00         10   0.00     0.20   0.61    27 290.61             8              1           13             8
ma_trader34      10.00         10   0.90     0.19  18.99     0  18.99             9              9            4          2126
ma_trader9      10.00         10   0.87     0.90   0.22    15 161.33             8              1            7             8
ma_trader35      10.00         10   0.95     0.87   0.32    12 129.21             6              0            6             6
ma_trader32      10.00         10   0.48     0.05   6.58     2  28.06             8              9            4            41
ma_trader33      10.00         10   0.16     0.47   0.39    23 247.42             5             14           10            13
ma_trader30      10.00         10   0.76     0.37   0.99    13 140.61             6              0            7             7
trader10        10.00         10   0.09     0.21  24.49     0  24.49             5              2            2           191
ma_trader31      10.00         10   0.35     0.49   6.62     1  17.36             5              5            5           875
trader12        10.00         10   0.85     0.34  31.66     0  31.66            14             12           13          1921
trader11        10.00         10   0.49     0.42  17.68     0  17.68            12              8           10           610
trader14        10.00         10   0.13     0.12  93.95     0  93.95            11              0            3           472
trader13        10.00         10   0.90     0.80  18.06     0  18.06            18             11            9           370
trader15        10.00         10   0.96     0.66  14.60     0  14.60            21             14           14           490
ma_trader29      10.00         10   0.25     0.91  14.33     0  14.33             9              5            3          1436
