Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.02,0.41,27,79
3,0.99,0.71,15,49
4,0.99,1.02,13,41
5,0.98,1.24,19,42
6,0.95,1.52,18,47
7,0.95,1.73,16,43
8,0.92,2.13,13,57
9,0.92,2.34,20,54
10,0.92,2.68,21,70
11,0.92,2.84,15,47
12,0.93,3.10,14,43
13,0.94,3.22,9,20
14,0.90,3.41,13,39
15,0.83,3.56,9,39
16,0.83,3.72,13,31
17,0.87,3.84,13,47
18,0.89,4.09,14,62
19,0.88,4.32,20,56
20,0.88,4.69,14,37
21,0.88,4.89,14,41
22,0.90,5.14,17,48
23,0.90,5.40,15,41
24,0.91,5.57,10,35
25,0.87,5.85,15,58
26,0.85,6.03,12,38
27,0.88,6.11,9,39
28,0.86,6.23,11,30
29,0.89,6.30,9,21
30,0.87,6.61,14,34
31,0.85,6.76,16,56
32,0.82,6.97,9,40
33,0.82,7.14,10,43
34,0.84,7.19,6,9
35,0.90,7.31,8,17
36,0.85,7.43,10,29
37,0.81,7.69,8,31
38,0.82,7.93,11,47
39,0.86,8.10,8,27
40,0.87,8.33,9,35
41,0.88,8.63,12,45
42,0.90,8.74,11,26
43,0.93,8.87,7,34
44,0.92,8.92,8,19
45,0.93,9.00,8,21
46,0.96,9.06,8,14
47,0.90,9.33,15,39
48,0.85,9.42,8,19
49,0.87,9.57,12,31
50,0.80,9.79,11,38
51,0.75,10.04,17,66
52,0.74,10.32,19,64
53,0.72,10.76,18,72
54,0.72,10.90,11,34
55,0.68,10.95,11,15
56,0.68,10.99,9,15
57,0.62,11.13,10,32
58,0.62,11.29,12,30
59,0.64,11.45,14,50
60,0.65,11.50,6,19
61,0.59,11.63,11,35
62,0.58,11.69,9,26
63,0.63,11.79,10,23
64,0.64,11.89,10,32
65,0.65,12.03,16,42
66,0.63,12.08,8,17
67,0.63,12.19,7,26
68,0.63,12.30,10,35
69,0.67,12.63,13,51
70,0.72,12.75,10,23
71,0.68,13.05,15,53
72,0.69,13.23,9,48
73,0.72,13.50,13,38
74,0.77,13.58,8,24
75,0.80,13.88,17,62
76,0.80,13.95,6,18
77,0.77,14.16,7,39
78,0.77,14.27,12,35
79,0.77,14.48,11,29
80,0.67,14.64,8,29
81,0.74,14.73,9,18
82,0.75,14.89,13,32
83,0.75,14.98,11,32
84,0.69,15.18,9,40
85,0.68,15.39,10,35
86,0.67,15.47,11,28
87,0.66,15.58,8,30
88,0.67,15.75,10,41
89,0.69,15.85,9,34
90,0.71,15.93,10,28
91,0.69,16.18,10,39
92,0.68,16.42,18,57
93,0.65,16.50,13,32
94,0.66,16.64,10,30
95,0.70,16.80,11,30
96,0.73,16.82,6,12
97,0.72,16.95,10,39
98,0.72,17.10,14,52
