Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.08,0.22,11,30
3,1.12,0.64,27,62
4,1.20,0.80,14,28
5,1.25,1.15,18,42
6,1.31,1.46,15,32
7,1.36,1.68,15,29
8,1.41,1.93,16,39
9,1.43,2.18,18,39
10,1.51,2.40,16,23
11,1.60,2.53,11,15
12,1.61,2.79,14,26
13,1.60,3.02,15,25
14,1.65,3.27,16,36
15,1.66,3.44,4,13
16,1.75,3.61,12,19
17,1.78,3.72,9,12
18,1.92,3.84,6,12
19,2.05,4.10,5,14
20,2.12,4.43,8,13
21,2.22,4.68,8,16
22,2.16,4.87,10,26
23,2.04,5.40,10,25
24,2.05,5.79,16,34
25,2.04,6.28,14,35
26,2.06,6.52,8,18
27,1.97,6.67,9,12
28,1.93,6.95,9,17
29,1.90,7.15,7,16
30,1.72,7.25,8,10
31,1.60,7.49,6,18
32,1.58,7.72,8,15
33,1.59,7.75,4,5
34,1.61,7.92,11,18
35,1.56,8.13,10,34
36,1.48,8.37,13,39
37,1.41,8.44,7,9
38,1.32,8.56,8,18
39,1.28,8.78,7,20
40,1.23,8.94,9,22
41,1.05,9.04,5,8
42,0.94,9.17,10,22
43,0.94,9.63,16,63
44,0.82,9.75,15,29
45,0.80,10.02,16,34
46,0.78,10.19,16,52
47,0.74,10.47,13,50
48,0.72,10.67,15,38
49,0.71,11.14,15,63
50,0.68,11.27,9,40
51,0.63,11.43,12,38
52,0.59,11.53,12,30
53,0.58,11.60,13,32
54,0.57,11.74,15,34
55,0.56,11.79,7,16
56,0.54,11.92,11,26
57,0.53,12.15,15,50
58,0.51,12.18,5,9
59,0.49,12.32,8,43
60,0.52,12.46,13,35
61,0.58,12.54,8,23
62,0.59,12.68,8,25
63,0.57,12.71,6,18
64,0.59,12.72,4,9
65,0.60,12.75,3,7
66,0.61,12.78,4,18
67,0.63,12.84,7,27
68,0.62,12.89,4,17
69,0.67,13.05,4,27
70,0.80,13.10,5,10
71,0.83,13.26,7,21
72,0.88,13.31,6,15
73,0.92,13.44,6,19
74,1.02,13.56,5,14
75,1.07,13.69,9,25
76,1.12,13.86,8,26
77,1.18,13.88,2,2
78,1.20,13.89,1,1
79,1.37,13.98,2,6
80,1.46,13.99,1,1
81,1.58,14.00,1,1
82,1.70,14.07,3,12
83,1.77,14.10,1,1
84,1.88,14.22,4,9
85,2.00,14.39,10,17
86,2.11,14.45,3,3
87,2.25,14.53,3,4
88,2.44,14.60,7,10
89,2.53,14.71,8,9
90,2.77,14.79,1,3
91,2.93,14.88,8,11
92,2.83,15.28,12,17
93,2.89,15.46,6,12
94,2.97,15.54,4,6
95,3.20,15.56,2,2
96,3.38,15.65,2,3
97,3.45,15.83,5,8
98,3.76,15.85,2,2
