Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.00,0.17,11,30
3,1.00,0.55,17,56
4,0.98,1.05,26,63
5,0.97,1.37,21,53
6,0.96,1.63,26,60
7,0.98,2.16,22,71
8,0.99,2.34,14,30
9,1.00,2.65,15,52
10,1.00,2.84,15,41
11,0.97,3.10,20,43
12,0.99,3.30,13,39
13,0.99,3.39,13,28
14,0.99,3.60,8,32
15,0.95,3.93,17,54
16,0.94,3.99,9,17
17,0.92,4.18,17,44
18,0.91,4.43,15,41
19,0.89,4.62,14,42
20,0.89,4.77,10,29
21,0.89,4.92,14,34
22,0.87,5.11,12,40
23,0.86,5.25,11,31
24,0.86,5.45,11,34
25,0.89,5.63,10,37
26,0.86,5.82,14,37
27,0.90,6.08,11,44
28,0.94,6.44,13,66
29,0.98,6.61,8,30
30,0.95,7.11,15,48
31,1.05,7.34,11,26
32,1.00,7.69,10,34
33,1.00,8.04,17,54
34,1.02,8.40,15,55
35,0.99,8.69,17,59
36,0.98,9.09,14,56
37,1.01,9.61,13,53
38,1.03,9.89,13,54
39,1.00,10.27,13,41
40,0.98,10.60,13,50
41,1.00,10.89,16,44
42,1.05,11.02,12,28
43,1.03,11.24,14,42
44,1.04,11.41,9,35
45,1.02,11.62,10,32
46,0.96,11.69,9,23
47,0.94,11.77,9,11
48,0.93,12.05,16,42
49,0.90,12.40,14,50
50,0.88,12.60,10,33
51,0.87,12.93,14,47
52,0.85,13.03,15,30
53,0.83,13.16,9,32
54,0.80,13.30,14,44
55,0.77,13.51,12,40
56,0.75,13.57,9,28
57,0.72,13.97,15,62
58,0.71,14.05,12,27
59,0.69,14.22,13,43
60,0.73,14.56,14,52
61,0.72,14.61,12,21
62,0.75,14.64,7,21
63,0.74,14.72,6,20
64,0.76,14.92,10,38
65,0.72,15.01,10,20
66,0.70,15.19,10,25
67,0.71,15.36,8,38
68,0.68,15.46,9,20
69,0.67,15.63,16,45
70,0.69,15.70,7,28
71,0.71,15.76,7,23
72,0.68,15.83,4,24
73,0.68,16.20,12,67
74,0.65,16.25,6,30
75,0.65,16.45,11,49
76,0.67,16.60,10,41
77,0.67,16.85,11,52
78,0.72,17.07,10,37
79,0.72,17.42,11,57
80,0.73,17.61,11,45
81,0.74,17.73,10,28
82,0.71,17.88,14,54
83,0.74,17.97,11,24
84,0.76,18.13,15,52
85,0.72,18.25,4,19
86,0.76,18.41,8,26
87,0.76,18.57,7,38
88,0.74,18.73,13,31
89,0.76,19.03,13,43
90,0.81,19.11,12,25
91,0.81,19.33,11,33
92,0.83,19.39,8,28
93,0.86,19.77,18,57
94,0.90,19.90,10,41
95,0.92,20.12,9,33
96,0.95,20.24,8,14
97,0.94,20.37,10,33
98,0.99,20.55,11,36
