TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
trader1         10.00         10   0.31     0.98  22.29     0  22.29             7              8            1             8
trader3         10.00         10   0.71     0.42  22.33     0  22.33           176            187          166           471
trader2         10.00         10   0.91     0.78  17.78     0  17.78            79             76           74           210
trader5         10.00         10   0.41     0.43  74.54     0  74.54           331            390          324           622
trader4         10.00         10   0.30     0.24  18.55     1  30.49           143            161          143           337
trader7         10.00         10   0.71     0.37   9.71     0   9.71            85            103           82           214
trader6         10.00         10   0.31     0.14  12.58     1  24.52            91             86          100           248
trader9         10.00         10   0.74     0.84  15.68     0  15.68            34             39           27           102
trader8         10.00         10   0.41     0.77  18.37     0  18.37            36             36           27            86
ma_trader16      10.00         10   0.55     0.80   0.94    17 203.92             6              2           10             7
ma_trader17      10.00         10   0.34     0.65   3.93    10 123.33             5              5           10            30
ma_trader14      10.00         10   0.50     0.66   5.40    24 291.97             5              1           12            27
ma_trader15      10.00         10   0.28     0.34   0.67    18 215.60             6              1            9             6
ma_trader12      10.00         10   0.28     0.87   0.94    25 299.45             8              4           17             8
ma_trader13      10.00         10   0.78     0.65   3.94    12 147.23             6              3            6            37
ma_trader10      10.00         10   0.16     0.67   0.92    22 263.61            10              4            9            12
ma_trader11      10.00         10   1.00     0.54   0.45    23 275.08             6              4           14             8
ma_trader69      10.00         10   0.22     0.29   5.75     3  41.58             4              8            6            21
ma_trader67      10.00         10   0.48     0.55   0.37    24 286.94             7             11           13             6
ma_trader68      10.00         10   0.73     0.55   0.84    12 144.13             2              1            5             7
ma_trader65      10.00         10   0.25     0.67   0.63    30 358.85             4              3           10             8
ma_trader66      10.00         10   0.56     0.16   0.75    23 275.38             9              5           11             9
ma_trader63      10.00         10   0.18     0.05   2.74    12 146.03             8             19            7             9
ma_trader64      10.00         10   0.61     0.34   4.35    15 183.46             8              7            6            26
ma_trader61      10.00         10   0.82     0.48   0.29    18 215.22            11              2           12             4
ma_trader62      10.00         10   0.67     0.82   0.60    14 167.77             7              1           10             5
ma_trader60      10.00         10   0.16     0.77   2.52    31 372.67             5              2           12            10
