Step Price ManagerIncome NbOp NbSh
  93  5.16         18.55    2    2
  94  5.58         18.69    5    5
  95  5.95         18.73    1    1
  96  5.84         18.86    7    7
  97  6.05         18.91    2    2
  98  6.05         18.91    0    0
  99  7.41         18.91    1    1
 100  7.72         18.96    1    1
 101  7.72         18.96    0    0
 102  8.04         19.25    4    4
 103  7.89         19.40    2    2
 104  7.89         19.40    0    0
 105  7.99         19.47    1    1
 106  8.29         19.57    1    1
 107  9.91         19.59    1    1
 108  9.91         19.59    0    0
 109  9.91         19.59    0    0
 110  9.56         19.86    5    5
 111  9.90         19.94    1    1
 112  9.78         20.10    2    2
 113  9.53         20.22    2    2
 114 10.39         20.27    1    1
 115  9.96         20.33    1    1
 116  9.96         20.33    0    0
 117  9.96         20.33    0    0
 118  9.47         20.45    1    1
 119  9.47         20.45    0    0
 120  9.53         20.46    2    2
 121 10.00         20.47    1    1
 122 10.00         20.47    0    0
 123 10.00         20.47    0    0
 124 10.00         20.47    0    0
 125 10.00         20.47    0    0
 126 10.31         20.49    1    1
 127 10.31         20.49    0    0
 128 10.86         20.53    1    1
 129 10.86         20.53    0    0
 130 11.00         20.61    1    1
 131 12.47         20.64    1    1
 132 12.01         20.73    1    1
 133 13.14         20.76    1    1
 134 12.65         20.90    1    4
 135 12.65         20.90    0    0
 136 13.13         20.97    1    1
 137 13.13         20.97    0    0
 138 13.49         21.06    2    2
 139 13.02         21.14    2    2
 140 13.05         21.18    1    1
 141 13.48         21.19    1    1
 142 12.82         21.48    3    4
 143 12.82         21.48    0    0
 144 13.02         21.56    1    1
 145 13.24         21.70    3    3
 146 12.27         21.87    2    2
 147 12.27         21.87    0    0
 148 12.27         21.87    0    0
 149 12.93         22.03    1    1
 150 12.93         22.03    0    0
 151 12.93         22.03    0    0
 152 12.93         22.03    0    0
 153 13.09         22.20    3    3
 154 12.61         22.38    2    2
 155 12.06         22.50    3    3
 156 12.24         22.75    1    2
 157 12.24         22.75    0    0
 158 12.24         22.75    0    0
 159 11.85         22.84    1    1
 160 13.55         22.92    1    1
 161 13.24         23.01    1    1
 162 13.24         23.01    0    0
 163 13.24         23.01    0    0
 164 13.69         23.21    1    1
 165 13.69         23.21    0    0
 166 14.33         23.31    1    1
 167 15.35         23.45    2    2
 168 14.49         23.63    1    1
 169 14.49         23.63    0    0
 170 15.68         23.68    1    1
 171 14.32         23.71    1    1
 172 14.37         23.72    1    1
 173 14.37         23.72    0    0
 174 14.37         23.72    0    0
 175 14.37         23.72    0    0
 176 13.83         23.77    1    1
 177 13.83         23.77    0    0
 178 12.94         23.87    2    2
 179 13.57         23.96    1    1
 180 14.92         23.97    1    1
 181 16.52         24.09    2    2
 182 16.57         24.09    1    1
 183 16.05         24.09    1    1
 184 15.84         24.28    2    2
 185 15.84         24.28    0    0
 186 15.84         24.28    0    0
 187 15.84         24.28    0    0
 188 15.55         24.40    1    1
 189 15.55         24.40    0    0
 190 15.55         24.40    0    0
 191 15.55         24.40    0    0
 192 14.44         24.58    1    1
 193 14.44         24.58    0    0
 194 15.11         24.59    1    1
 195 13.59         24.79    5    5
 196 13.45         24.81    1    1
 197 14.00         25.09    3    3
 198 15.37         25.17    1    1
 199 15.37         25.17    0    0
 200 16.85         25.23    1    1
 201 16.85         25.23    0    0
 202 17.22         25.37    1    1
 203 19.02         25.39    1    1
 204 19.02         25.39    0    0
 205 19.02         25.39    0    0
 206 19.02         25.39    0    0
 207 19.31         25.54    1    1
 208 19.31         25.54    0    0
 209 19.31         25.54    0    0
 210 19.31         25.54    0    0
 211 19.31         25.54    0    0
 212 18.55         25.71    1    1
 213 18.55         25.71    0    0
 214 18.55         25.71    0    0
 215 16.07         26.35    3    4
 216 15.44         26.43    1    1
 217 15.44         26.43    0    0
 218 14.19         26.47    1    1
 219 13.01         26.53    1    1
 220 14.71         26.76    3    3
 221 14.71         26.76    0    0
 222 14.71         26.76    0    0
 223 14.71         26.76    0    0
 224 14.71         26.76    0    0
 225 14.71         26.76    0    0
 226 13.66         26.90    1    1
 227 14.14         27.07    1    1
 228 14.14         27.07    0    0
 229 15.87         27.07    1    2
