TraderName InitIncome InitShares OpProb SellProb Income Shares Wealth NbSellSuccess NbSellFailures NbBuySuccess NbBuyFailures
trader1         10.00         10   0.21     0.47  20.80     0  20.80             9              1            3           429
ma_trader89      10.00         10   0.18     0.23  14.79     0  14.79             7              3            3          3594
trader3         10.00         10   0.82     0.76  19.16     0  19.16            15             12            8           779
trader2         10.00         10   0.62     0.28  16.99     0  16.99            17              2            9          1746
ma_trader87      10.00         10   0.08     0.54   0.48    21  74.85             6              2           13             7
trader5         10.00         10   0.18     0.18  22.30     0  22.30             7              0            2           609
ma_trader88      10.00         10   0.36     0.04   0.62    15  53.75             4              0            7            12
trader4         10.00         10   0.07     0.19  37.76     0  37.76             5              1            0           263
ma_trader85      10.00         10   0.09     0.93  19.17     0  19.17             3              8            2          3943
ma_trader86      10.00         10   0.54     0.20   0.57    24  85.57             8              0           12            10
ma_trader83      10.00         10   0.15     0.54  22.71     0  22.71             4              8            3          4094
ma_trader84      10.00         10   0.56     0.65   4.14    31 113.94             7              5           17           955
ma_trader81      10.00         10   0.52     0.79  15.92     0  15.92             4              2            2          3700
ma_trader82      10.00         10   0.76     0.09   0.90    10  36.32             6              0            5             7
ma_trader80      10.00         10   0.57     0.34  25.32     0  25.32             5              7            3          4179
ma_trader16      10.00         10   0.47     0.47  14.66     0  14.66             5              4            3          3642
ma_trader17      10.00         10   0.91     0.97   1.28    24  86.28             8              0           12            15
ma_trader14      10.00         10   0.67     0.94   2.95     4  17.12             5              0            5            92
ma_trader15      10.00         10   0.31     0.30  16.28     0  16.28             6              8            2          3786
ma_trader12      10.00         10   0.00     0.06  16.40     0  16.40             3              6            2          3802
ma_trader13      10.00         10   0.79     0.47  16.60     0  16.60             3              1            3          3711
ma_trader10      10.00         10   0.50     0.22  14.66     0  14.66             7              1            4          3623
ma_trader11      10.00         10   0.46     0.01  12.25     1  15.79             6              0            2          3424
ma_trader94      10.00         10   0.64     0.50  14.95     1  18.49             6              9            4          3663
ma_trader95      10.00         10   0.69     0.83   3.50    32 116.84             7              7           16           154
ma_trader92      10.00         10   0.36     0.33  13.59     7  38.39             2              9            5          3497
ma_trader93      10.00         10   0.22     0.13  12.65    12  55.15             7              4            7          3440
ma_trader90      10.00         10   0.20     0.91   1.66    24  86.66             7              9           10            13
ma_trader91      10.00         10   0.49     0.75   4.30     3  14.92             3              3            4          1012
ma_trader69      10.00         10   0.70     0.87   2.93    30 109.18             9              3           15            25
ma_trader67      10.00         10   0.49     0.46  14.33     0  14.33             8              5            4          3591
ma_trader68      10.00         10   0.94     0.15  15.26     0  15.26             4              0            4          3681
ma_trader65      10.00         10   0.58     0.18  14.48     0  14.48             3              2            2          3617
ma_trader66      10.00         10   0.50     0.07   1.97    13  48.02             7              0           10             7
ma_trader63      10.00         10   0.05     0.71   0.72    31 110.51             8              6           10            14
ma_trader64      10.00         10   0.01     0.80  13.40     0  13.40             4              0            2          3461
ma_trader61      10.00         10   0.30     0.06  21.87     0  21.87             4              7            3          4043
ma_trader62      10.00         10   0.04     0.02   3.95    19  71.24             8             10            9           152
ma_trader60      10.00         10   0.62     0.80   9.62     2  16.71             5              4            4          3018
ma_trader78      10.00         10   0.85     0.68   0.32    11  39.28             3              0            6            11
ma_trader79      10.00         10   0.00     0.99  10.91     6  32.16             8              9            5          3194
ma_trader76      10.00         10   0.02     0.18  17.90     0  17.90             4              8            3          3823
ma_trader77      10.00         10   0.16     0.32   1.46    13  47.50             6              0            8            12
ma_trader74      10.00         10   0.32     0.82  14.84     0  14.84             4              4            4          3602
ma_trader75      10.00         10   0.92     0.65   1.33    19  68.62             6              9            7            12
ma_trader72      10.00         10   0.97     0.79  13.36     2  20.44            10              9            5          3588
ma_trader73      10.00         10   0.13     0.08   1.83    18  65.58             4              0            8            17
ma_trader70      10.00         10   0.10     0.61   1.34    18  65.09             6             10            6            15
ma_trader71      10.00         10   0.66     0.91   0.46    31 110.26            10              1           11            10
ma_trader49      10.00         10   0.09     0.97   2.15    34 122.57             6              8           12            42
ma_trader47      10.00         10   0.65     0.30   0.74    34 121.16             8              7           13            14
ma_trader48      10.00         10   0.10     0.32   1.18    29 103.89             5             14           11            12
ma_trader45      10.00         10   0.27     0.44  14.04     0  14.04             6              2            2          3614
ma_trader46      10.00         10   0.28     0.76  18.77     0  18.77             9              8            1          3884
ma_trader43      10.00         10   0.64     0.35   0.29    11  39.25             6              0            7             9
ma_trader44      10.00         10   0.50     0.24  10.49    11  49.45             9             11            6          3131
ma_trader41      10.00         10   0.27     1.00  14.10     0  14.10             3              2            3          3629
ma_trader42      10.00         10   0.80     0.44  14.47     0  14.47             5              6            2          3610
ma_trader40      10.00         10   0.92     0.46  14.16     0  14.16             5              1            3          3585
ma_trader5      10.00         10   0.18     0.15   0.41    31 110.20             9              6           13             8
ma_trader6      10.00         10   0.68     0.78  17.66     0  17.66             5              3            3          3783
ma_trader7      10.00         10   0.97     0.22  13.15     4  27.32             4              4            3          3564
ma_trader8      10.00         10   0.76     0.65   1.44     9  33.32             5              0            4             9
ma_trader1      10.00         10   0.87     0.57   2.54    32 115.87             6              8           11            40
ma_trader2      10.00         10   0.93     0.65   1.37    19  68.67             5             11            8            14
ma_trader3      10.00         10   0.74     0.76   1.08    15  54.20             8              2           10            12
ma_trader4      10.00         10   0.16     0.34   1.96    27  97.59             9             10           13            12
ma_trader58      10.00         10   0.85     0.02   0.93    22  78.85             8              8           11            10
ma_trader59      10.00         10   0.06     0.98  15.14     0  15.14             4              3            3          3685
ma_trader56      10.00         10   0.89     0.43   0.34    12  42.84             8              2            7             8
ma_trader57      10.00         10   0.79     0.91  12.87     1  16.41             5              2            5          3378
ma_trader54      10.00         10   0.62     0.45   1.89    34 122.31             7              7            9            19
ma_trader55      10.00         10   0.59     0.07  15.72     0  15.72             6              6            3          3697
ma_trader52      10.00         10   0.96     0.36   0.88    13  46.92            10              2            8            10
ma_trader53      10.00         10   0.56     0.12  14.51     0  14.51             3              2            3          3558
ma_trader50      10.00         10   0.23     0.91  13.79     0  13.79             5              4            2          3501
ma_trader51      10.00         10   0.64     0.65   1.72    26  93.81             8              7            9            15
ma_trader27      10.00         10   0.36     0.17  15.51     0  15.51             4              3            5          3679
ma_trader28      10.00         10   0.62     0.81  15.58     0  15.58             5              7            3          3697
ma_trader25      10.00         10   0.36     0.21  14.99    18  78.74             4              1            6          3684
ma_trader26      10.00         10   0.33     0.91  15.59     0  15.59             7              4            4          3682
ma_trader23      10.00         10   0.94     0.53   0.15    21  74.52             6              3           11            10
ma_trader24      10.00         10   0.06     0.73   0.94    40 142.61             6              3           17            10
ma_trader21      10.00         10   0.19     0.95   1.96    11  40.92             4              1            3            13
ma_trader22      10.00         10   0.97     0.09   5.99    17  66.21             9              6            9          1670
ma_trader20      10.00         10   0.35     0.30   1.22    29 103.93             8              9           15            10
ma_trader18      10.00         10   0.43     0.24  13.94     0  13.94             3              0            3          3523
ma_trader19      10.00         10   0.99     0.94  15.49     0  15.49             5              6            3          3716
ma_trader38      10.00         10   0.44     0.74  20.54     0  20.54             7             11            2          4024
ma_trader39      10.00         10   0.64     0.09   1.57    35 125.54            11              5           14            19
ma_trader36      10.00         10   0.68     0.94  13.46     2  20.55             4             16            5          3471
ma_trader37      10.00         10   0.09     0.41  20.74     0  20.74             5              7            3          4018
ma_trader34      10.00         10   0.84     0.36  15.67     0  15.67             3              9            2          3725
ma_trader9      10.00         10   0.56     0.65  17.85     0  17.85             7              5            4          3889
ma_trader35      10.00         10   0.24     0.98   0.83    11  39.79             5              1            3             7
ma_trader32      10.00         10   0.58     0.48  15.66     0  15.66             4              0            3          3733
ma_trader33      10.00         10   0.32     0.16  14.44     0  14.44             6              1            4          3609
ma_trader30      10.00         10   0.08     0.98   9.92     2  17.00             6              4            4          2976
ma_trader31      10.00         10   1.00     0.48  13.64     0  13.64            10              3            4          3527
ma_trader29      10.00         10   0.67     0.96   4.95    28 104.12             9              6           12          1029
