Step,Price,ManagerIncome,NbOp,NbSh
0,0.00,0.00,0,0
1,0.00,0.00,0,0
2,1.07,0.18,12,28
3,1.15,0.55,17,51
4,1.26,0.70,13,24
5,1.33,0.91,12,27
6,1.37,1.33,13,39
7,1.38,1.75,21,42
8,1.40,2.32,20,53
9,1.44,2.60,18,32
10,1.52,2.78,14,24
11,1.61,3.32,17,35
12,1.70,3.46,12,15
13,1.70,3.80,14,28
14,1.70,4.02,13,23
15,1.76,4.09,6,8
16,1.64,4.37,16,25
17,1.69,4.64,11,20
18,1.84,4.78,4,13
19,1.77,5.05,9,24
20,1.84,5.14,7,14
21,1.98,5.40,10,21
22,1.96,5.63,9,24
23,1.96,5.91,14,33
24,1.95,6.11,12,24
25,2.06,6.42,9,17
26,2.11,6.55,10,15
27,2.10,6.78,8,16
28,2.09,6.99,7,17
29,2.01,7.16,8,33
30,1.85,7.26,8,11
31,1.77,7.32,6,11
32,1.65,7.49,6,10
33,1.59,7.80,12,32
34,1.56,8.12,16,41
35,1.50,8.41,17,43
36,1.43,8.67,15,38
37,1.45,8.96,12,29
38,1.44,9.25,13,25
39,1.38,9.37,8,11
40,1.41,9.66,10,18
41,1.41,9.71,4,4
42,1.31,9.75,3,5
43,1.27,9.87,8,17
44,1.30,10.10,8,17
45,1.27,10.32,9,39
46,1.28,10.56,8,26
47,1.30,10.91,7,24
48,1.21,11.04,8,21
49,1.10,11.14,6,17
50,1.03,11.43,6,28
51,0.97,11.60,10,31
52,0.96,11.85,16,67
53,0.87,11.96,14,19
54,0.84,12.10,18,70
55,0.78,12.16,11,14
56,0.77,12.27,13,29
57,0.74,12.53,19,69
58,0.74,12.73,14,55
59,0.73,12.96,18,46
60,0.79,13.01,11,20
61,0.83,13.21,12,33
62,0.89,13.34,11,30
63,0.95,13.34,2,3
64,0.98,13.38,6,9
65,1.01,13.51,8,26
66,1.03,13.64,11,22
67,1.08,13.73,4,15
68,1.10,14.01,8,26
69,1.16,14.15,5,17
70,1.29,14.18,4,12
71,1.33,14.31,4,14
72,1.34,14.45,7,17
73,1.45,14.50,2,5
74,1.55,14.51,2,3
75,1.75,14.52,3,4
76,1.86,14.69,7,17
77,2.04,14.79,3,5
78,2.13,14.93,5,12
79,2.19,15.02,4,10
80,2.43,15.07,3,3
81,2.51,15.19,5,13
82,2.58,15.34,7,9
83,2.76,15.35,1,1
84,2.90,15.51,6,8
85,2.80,15.54,1,1
86,3.05,15.56,1,1
87,3.02,15.66,3,3
88,3.13,15.72,2,2
89,3.33,15.75,2,2
90,3.53,15.77,1,2
91,3.53,15.77,0,0
92,3.53,15.77,0,0
93,3.53,15.77,0,0
94,3.90,15.82,1,3
95,4.19,15.95,2,3
96,4.81,15.96,1,1
97,4.81,15.96,0,0
98,4.88,16.02,1,1
